mask_type,target_sparsity,mean_kept_mass,mean_cosine,mean_l2_rel,mean_work_frac,quality_pass_count
random,0.5,0.4796692728996277,0.7948914468288422,0.5648279190063477,0.4952651515151515,0
random,0.6,0.38289813697338104,0.7293476164340973,0.671579897403717,0.39745670995670995,0
random,0.7,0.2851615846157074,0.6528290212154388,0.7769622504711151,0.29897186147186144,0
mean_pooled_score,0.5,0.6922296583652496,0.8944202363491058,0.4060995280742645,0.45454545454545453,0
mean_pooled_score,0.6,0.637225866317749,0.8798527419567108,0.48223650455474854,0.36363636363636365,0
mean_pooled_score,0.7,0.5575641989707947,0.8367995023727417,0.5747227370738983,0.26704545454545453,0
oracle_block_mass,0.5,0.8847522437572479,0.9850250780582428,0.12494318559765816,0.5151515151515151,1
oracle_block_mass,0.6,0.8450466990470886,0.9784797132015228,0.16547327116131783,0.42424242424242425,0
oracle_block_mass,0.7,0.7845007479190826,0.9647687673568726,0.23203974217176437,0.32765151515151514,0
local_window,0.5,0.827271968126297,0.9638631939888,0.20840118825435638,0.7424242424242425,0
local_window,0.6,0.7746526300907135,0.9543438851833344,0.2641311287879944,0.6022727272727273,0
local_window,0.7,0.7182919979095459,0.9443265795707703,0.3276719003915787,0.4772727272727273,0
local_plus_score,0.5,0.7872487604618073,0.9652216831843058,0.29702360431353253,0.5195707070707071,0
local_plus_score,0.6,0.7324026127656301,0.9511599044005076,0.3664080003897349,0.42992424242424243,0
local_plus_score,0.7,0.6640379726886749,0.931032141049703,0.45143816371758777,0.3371212121212121,0
local_plus_oracle,0.5,0.860075056552887,0.9784322082996368,0.16319692507386208,0.5195707070707071,3
local_plus_oracle,0.6,0.8094829420248667,0.9669928650061289,0.22018866489330927,0.42992424242424243,0
local_plus_oracle,0.7,0.7408770819505056,0.9461517930030823,0.30504536380370456,0.3371212121212121,0
