layer,group_size,ambiguity_mode,target_sparsity,aggregation,exact_match,mismatch_count,valid_tiles,selected_tiles,row_certification_rate,ambiguous_rate,fallback_rate,mean_interval_width,p50_interval_width,p90_interval_width,p99_interval_width,selected_ambiguous_rate,rejected_ambiguous_rate,boundary_band_size_mean,boundary_band_size_p90,certified_keep_rate,certified_drop_rate,mean_margin_to_boundary,p10_margin_to_boundary,score_interval_width_over_margin_p50,score_interval_width_over_margin_p90
3,32,partition,0.75,logsumexp,True,0,115584,29568,0.08426339285714286,0.23564680232558138,0.23564680232558138,0.8782504796981812,0.8147964477539062,1.346128225326538,1.7358052730560303,0.399316829004329,0.17938523065476192,1945.5001220703125,2852.300048828125,0.600683170995671,0.8206147693452381,inf,0.36311930418014526,0.3961374759674072,2.4147117137908936
3,32,threshold,0.75,logsumexp,True,0,115584,29568,0.08426339285714286,0.13173103543743078,0.13173103543743078,0.8782504796981812,0.8147964477539062,1.346128225326538,1.7358052730560303,0.2628517316017316,0.08665829613095238,1087.571533203125,1587.4000244140625,0.7371482683982684,0.9133417038690477,inf,0.36311930418014526,0.3961374759674072,2.4147117137908936
3,16,partition,0.75,logsumexp,True,0,115584,29568,0.12053571428571429,0.15305751661129569,0.15305751661129569,0.5620706081390381,0.5904998779296875,0.7381572127342224,0.9373248815536499,0.26931141774891776,0.1130952380952381,1263.6429443359375,1653.0999755859375,0.7306885822510822,0.8869047619047619,inf,0.36311930418014526,0.2670278251171112,1.5291122198104858
3,16,threshold,0.75,logsumexp,True,0,115584,29568,0.12053571428571429,0.08843784606866002,0.08843784606866002,0.5620706081390381,0.5904998779296875,0.7381572127342224,0.9373248815536499,0.18367830086580086,0.055698939732142856,730.1428833007812,933.0999755859375,0.8163216991341992,0.9443010602678571,inf,0.36311930418014526,0.2670278251171112,1.5291122198104858
3,8,partition,0.75,logsumexp,True,0,115584,29568,0.16071428571428573,0.11101017441860465,0.11101017441860465,0.4163399040699005,0.42369556427001953,0.5469280481338501,0.6863007545471191,0.19781520562770563,0.08117094494047619,916.5000610351562,1161.0999755859375,0.8021847943722944,0.9188290550595238,inf,0.36311930418014526,0.19958630204200745,1.1098212003707886
3,8,threshold,0.75,logsumexp,True,0,115584,29568,0.16071428571428573,0.06675664451827243,0.06675664451827243,0.4163399040699005,0.42369556427001953,0.5469280481338501,0.6863007545471191,0.14393939393939395,0.040225074404761904,551.1428833007812,673.7999877929688,0.8560606060606061,0.9597749255952381,inf,0.36311930418014526,0.19958630204200745,1.1098212003707886
3,4,partition,0.75,logsumexp,True,0,115584,29568,0.19252232142857142,0.09022009966777408,0.09022009966777408,0.33847033977508545,0.3349952697753906,0.44375184178352356,0.5808185338973999,0.16233766233766234,0.0654296875,744.857177734375,906.9000244140625,0.8376623376623377,0.9345703125,inf,0.36311930418014526,0.161778524518013,0.8946200609207153
3,4,threshold,0.75,logsumexp,True,0,115584,29568,0.19252232142857142,0.05508547895902547,0.05508547895902547,0.33847033977508545,0.3349952697753906,0.44375184178352356,0.5808185338973999,0.12236201298701299,0.03195917038690476,454.7857360839844,537.7999877929688,0.877637987012987,0.9680408296130952,inf,0.36311930418014526,0.161778524518013,0.8946200609207153
8,32,partition,0.75,logsumexp,True,0,115584,29568,0.09319196428571429,0.5541597452934662,0.5541597452934662,8.629807472229004,3.9209423065185547,14.237868309020996,54.708866119384766,0.5973011363636364,0.5393298921130952,4575.14306640625,8255.0,0.40269886363636365,0.46067010788690477,inf,0.39422693848609924,2.0639376640319824,15.807149887084961
8,32,threshold,0.75,logsumexp,True,0,115584,29568,0.09319196428571429,0.5114981312292359,0.5114981312292359,8.629807472229004,3.9209423065185547,14.237868309020996,54.708866119384766,0.5474837662337663,0.49912806919642855,4222.9287109375,8105.7001953125,0.4525162337662338,0.5008719308035714,inf,0.39422693848609924,2.0639376640319824,15.807149887084961
8,16,partition,0.75,logsumexp,True,0,115584,29568,0.10602678571428571,0.526595376522702,0.526595376522702,4.390377044677734,2.6890861988067627,7.52617073059082,22.84975814819336,0.56348079004329,0.513916015625,4347.57177734375,8242.400390625,0.43651920995670995,0.486083984375,inf,0.39422693848609924,1.140627384185791,8.9254732131958
8,16,threshold,0.75,logsumexp,True,0,115584,29568,0.10602678571428571,0.3856070044296788,0.3856070044296788,4.390377044677734,2.6890861988067627,7.52617073059082,22.84975814819336,0.4737892316017316,0.3552943638392857,3183.571533203125,6734.89990234375,0.5262107683982684,0.6447056361607143,inf,0.39422693848609924,1.140627384185791,8.9254732131958
8,8,partition,0.75,logsumexp,True,0,115584,29568,0.12220982142857142,0.4427602436323367,0.4427602436323367,2.721411943435669,1.6465749740600586,4.326879501342773,16.008312225341797,0.5101461038961039,0.4195963541666667,3655.4287109375,7129.0,0.4898538961038961,0.5804036458333334,inf,0.39422693848609924,0.7428809404373169,5.464616298675537
8,8,threshold,0.75,logsumexp,True,0,115584,29568,0.12220982142857142,0.2634707225913621,0.2634707225913621,2.721411943435669,1.6465749740600586,4.326879501342773,16.008312225341797,0.3882237554112554,0.2205868675595238,2175.21435546875,4159.7998046875,0.6117762445887446,0.7794131324404762,inf,0.39422693848609924,0.7428809404373169,5.464616298675537
8,4,partition,0.75,logsumexp,True,0,115584,29568,0.171875,0.21503841362126247,0.21503841362126247,1.2148405313491821,0.534238338470459,1.6565150022506714,9.573671340942383,0.32386363636363635,0.17762974330357142,1775.357177734375,4113.099609375,0.6761363636363636,0.8223702566964286,inf,0.39422693848609924,0.308136522769928,2.1917824745178223
8,4,threshold,0.75,logsumexp,True,0,115584,29568,0.171875,0.11904761904761904,0.11904761904761904,1.2148405313491821,0.534238338470459,1.6565150022506714,9.573671340942383,0.22362012987012986,0.08310081845238096,982.857177734375,2205.099853515625,0.7763798701298701,0.9168991815476191,inf,0.39422693848609924,0.308136522769928,2.1917824745178223
12,32,partition,0.65,logsumexp,True,0,115584,41314,0.09430803571428571,0.1709579180509413,0.1709579180509413,0.4921601414680481,0.4874919652938843,0.7286688089370728,0.931576669216156,0.2195381710800213,0.14393429379291772,1411.4285888671875,1741.0,0.7804618289199787,0.8560657062070822,inf,0.26241251826286316,0.3182511329650879,1.6941167116165161
12,32,threshold,0.65,logsumexp,True,0,115584,41314,0.09430803571428571,0.09714147286821706,0.09714147286821706,0.4921601414680481,0.4874919652938843,0.7286688089370728,0.931576669216156,0.14714140485065597,0.06932812710381042,802.0000610351562,976.7000122070312,0.852858595149344,0.9306718728961896,inf,0.26241251826286316,0.3182511329650879,1.6941167116165161
12,16,partition,0.65,logsumexp,True,0,115584,41314,0.11216517857142858,0.14528827519379844,0.14528827519379844,0.40937644243240356,0.4098355770111084,0.5694865584373474,0.7337742447853088,0.1893789030352907,0.12076208428706073,1199.5,1444.9000244140625,0.8106210969647093,0.8792379157129393,inf,0.26241251826286316,0.26981115341186523,1.441447377204895
12,16,threshold,0.65,logsumexp,True,0,115584,41314,0.11216517857142858,0.0840687292358804,0.0840687292358804,0.40937644243240356,0.4098355770111084,0.5694865584373474,0.7337742447853088,0.12978651304642494,0.058637404066244785,694.0714721679688,818.2999877929688,0.870213486953575,0.9413625959337553,inf,0.26241251826286316,0.26981115341186523,1.441447377204895
12,8,partition,0.65,logsumexp,True,0,115584,41314,0.12779017857142858,0.12629775747508307,0.12629775747508307,0.3515639901161194,0.34915292263031006,0.47669294476509094,0.6078959703445435,0.1666747349566733,0.103837350208698,1042.71435546875,1233.800048828125,0.8333252650433267,0.896162649791302,inf,0.26241251826286316,0.23398743569850922,1.2499973773956299
12,8,threshold,0.65,logsumexp,True,0,115584,41314,0.12779017857142858,0.07426633444075305,0.07426633444075305,0.3515639901161194,0.34915292263031006,0.47669294476509094,0.6078959703445435,0.11729680011618338,0.050329877474081054,613.1428833007812,696.2000122070312,0.8827031998838166,0.949670122525919,inf,0.26241251826286316,0.23398743569850922,1.2499973773956299
12,4,partition,0.65,logsumexp,True,0,115584,41314,0.18024553571428573,0.09184662236987819,0.09184662236987819,0.2573438286781311,0.24957624077796936,0.3574711084365845,0.48292219638824463,0.12375950041148279,0.07409451999461425,758.2857666015625,896.0999755859375,0.8762404995885172,0.9259054800053858,inf,0.26241251826286316,0.17012080550193787,0.9149091839790344
12,4,threshold,0.65,logsumexp,True,0,115584,41314,0.18024553571428573,0.05690233942414175,0.05690233942414175,0.2573438286781311,0.24957624077796936,0.3574711084365845,0.48292219638824463,0.09297090574623615,0.03683856200350074,469.7857360839844,539.7000122070312,0.9070290942537639,0.9631614379964992,inf,0.26241251826286316,0.17012080550193787,0.9149091839790344
13,32,partition,0.75,logsumexp,True,0,115584,29568,0.140625,0.12670438815060908,0.12670438815060908,0.5043302178382874,0.5087098479270935,0.640640377998352,0.7658071517944336,0.22723890692640691,0.09214564732142858,1046.071533203125,1301.0,0.7727610930735931,0.9078543526785714,inf,0.38945168256759644,0.2331681251525879,1.262388825416565
13,32,threshold,0.75,logsumexp,True,0,115584,29568,0.140625,0.07446532392026578,0.07446532392026578,0.5043302178382874,0.5087098479270935,0.640640377998352,0.7658071517944336,0.1624391233766234,0.044224330357142856,614.7857666015625,739.5,0.8375608766233766,0.9557756696428571,inf,0.38945168256759644,0.2331681251525879,1.262388825416565
13,16,partition,0.75,logsumexp,True,0,115584,29568,0.15848214285714285,0.11241175249169436,0.11241175249169436,0.44352149963378906,0.446765661239624,0.5570125579833984,0.6485456228256226,0.20535714285714285,0.08046177455357142,928.0714721679688,1168.199951171875,0.7946428571428571,0.9195382254464286,inf,0.38945168256759644,0.20576111972332,1.1174196004867554
13,16,threshold,0.75,logsumexp,True,0,115584,29568,0.15848214285714285,0.06711136489479513,0.06711136489479513,0.44352149963378906,0.446765661239624,0.5570125579833984,0.6485456228256226,0.14857278138528138,0.03910900297619048,554.0714721679688,663.5999755859375,0.8514272186147186,0.9608909970238095,inf,0.38945168256759644,0.20576111972332,1.1174196004867554
13,8,partition,0.75,logsumexp,True,0,115584,29568,0.17912946428571427,0.09567933277962348,0.09567933277962348,0.3786943554878235,0.37840843200683594,0.47844398021698,0.569136917591095,0.1768465909090909,0.06777808779761904,789.9285888671875,983.2999877929688,0.8231534090909091,0.9322219122023809,inf,0.38945168256759644,0.1756732314825058,0.9460570216178894
13,8,threshold,0.75,logsumexp,True,0,115584,29568,0.17912946428571427,0.058615379291251386,0.058615379291251386,0.3786943554878235,0.37840843200683594,0.47844398021698,0.569136917591095,0.13331980519480519,0.03293573288690476,483.9285888671875,574.3999633789062,0.8666801948051948,0.9670642671130952,inf,0.38945168256759644,0.1756732314825058,0.9460570216178894
13,4,partition,0.75,logsumexp,True,0,115584,29568,0.20089285714285715,0.08178467607973422,0.08178467607973422,0.32291558384895325,0.3223702907562256,0.411833256483078,0.4856962263584137,0.15269886363636365,0.057407924107142856,675.2142944335938,844.5,0.8473011363636364,0.9425920758928571,inf,0.38945168256759644,0.14986826479434967,0.8107616901397705
13,4,threshold,0.75,logsumexp,True,0,115584,29568,0.20089285714285715,0.05149501661129568,0.05149501661129568,0.32291558384895325,0.3223702907562256,0.411833256483078,0.4856962263584137,0.11891233766233766,0.0283203125,425.14288330078125,505.6000061035156,0.8810876623376623,0.9716796875,inf,0.38945168256759644,0.14986826479434967,0.8107616901397705
16,32,partition,0.75,logsumexp,True,0,115584,29568,0.15401785714285715,0.11557828073089702,0.11557828073089702,0.6926521062850952,0.6822474002838135,0.9667345285415649,1.2183767557144165,0.20309117965367965,0.08549572172619048,954.21435546875,1282.5999755859375,0.7969088203463204,0.9145042782738095,inf,0.5709600448608398,0.21356019377708435,1.1347873210906982
