metric,value
score_std,215.16012573242188
score_mean,257.75335693359375
score_p01,32.77299118041992
score_p10,88.79920959472656
score_p50,150.91934204101562
score_p90,496.74456787109375
score_p99,900.6246948242188
abs_score_p50,150.91934204101562
abs_score_p90,496.74456787109375
abs_score_p99,900.6246948242188
threshold_mean,260.84735107421875
threshold_std,216.46978759765625
threshold_p10,93.3031997680664
threshold_p50,152.71958923339844
threshold_p90,499.3612976074219
abs_error_p50,1.521514892578125
abs_error_p90,4.273779392242432
abs_error_p99,7.01816463470459
actual_bound_p50,31.126705169677734
actual_bound_p90,41.521888732910156
actual_bound_p99,73.73726654052734
analytic_bound_p50,59.68663024902344
analytic_bound_p90,75.22854614257812
analytic_bound_p99,142.20582580566406
margin_p10,0.0
margin_p50,1.9561233520507812
margin_p90,8.815755844116211
ratio_error_to_margin_p50,0.8567910194396973
ratio_error_to_margin_p90,3666880.5
ratio_error_to_margin_p99,38188508.0
ratio_actual_inflation_p50,18.305513381958008
ratio_actual_inflation_p90,100.73292541503906
ratio_actual_inflation_p99,757.3088989257812
ratio_analytic_inflation_p50,34.45098114013672
ratio_analytic_inflation_p90,196.193359375
ratio_analytic_inflation_p99,1416.7041015625
ratio_margin_to_actual_p50,0.05937964469194412
ratio_margin_to_actual_p90,0.5538591146469116
ratio_margin_to_actual_p99,1.2477843761444092
ratio_margin_to_analytic_p50,0.03184467554092407
ratio_margin_to_analytic_p90,0.30021607875823975
ratio_margin_to_analytic_p99,0.6733505129814148
