layer,certificate_name,group_size,certificate_type,violations,exact_match_rate,refinement_rate,bound_p50,bound_p90,bound_p99,stable_inflation_p50,stable_inflation_p90,stable_inflation_p99,near_zero_margin_rate,naive_mismatch_rate,oracle_crossing_rate,margin_floor,error_floor,refinement_reduction_vs_global
0,global_l2_actual,N/A,actual,0,1.0,0.9143543956043956,31.79404067993164,41.365177154541016,78.30665588378906,17.145381927490234,94.19480895996094,940.4935913085938,0.030803561210632324,0.18962912087912087,0.18962912087912087,0.0001497937774658203,1.5942382812499998e-06,0.0713912042688244
0,global_l2_analytic,N/A,analytic,0,1.0,0.9846497252747253,59.33580017089844,75.63337707519531,145.33670043945312,31.898941040039062,173.9447784423828,1726.272216796875,0.030803561210632324,0.18962912087912087,0.18962912087912087,0.0001497937774658203,1.5942382812499998e-06,0.0
0,group_l2_actual_g32,32,actual,0,1.0,0.9133241758241758,31.560924530029297,40.9340705871582,77.85511016845703,17.000648498535156,93.29358673095703,924.5291137695312,0.030803561210632324,0.18962912087912087,0.18962912087912087,0.0001497937774658203,1.5942382812499998e-06,0.07243748474174316
0,group_l2_analytic_g32,32,analytic,0,1.0,0.9845123626373626,59.010772705078125,75.06182861328125,144.7061309814453,31.696903228759766,172.97885131835938,1716.2581787109375,0.030803561210632324,0.18962912087912087,0.18962912087912087,0.0001497937774658203,1.5942382812499998e-06,0.00013950406305585084
0,group_l2_actual_g16,16,actual,0,1.0,0.8976648351648352,27.911113739013672,35.042205810546875,68.71918487548828,14.92588996887207,81.53469848632812,812.5447387695312,0.030803561210632324,0.18962912087912087,0.18962912087912087,0.0001497937774658203,1.5942382812499998e-06,0.08834094793010838
0,group_l2_analytic_g16,16,analytic,0,1.0,0.9772321428571429,51.318328857421875,64.74418640136719,120.28438568115234,27.70056915283203,151.03207397460938,1486.3154296875,0.030803561210632324,0.18962912087912087,0.18962912087912087,0.0001497937774658203,1.5942382812499998e-06,0.007533219405015168
0,group_l2_actual_g8,8,actual,0,1.0,0.8824175824175824,22.558635711669922,28.2479190826416,57.60139846801758,12.265633583068848,66.89099884033203,656.5720825195312,0.030803561210632324,0.18962912087912087,0.18962912087912087,0.0001497937774658203,1.5942382812499998e-06,0.10382589892930638
0,group_l2_analytic_g8,8,analytic,0,1.0,0.968543956043956,43.12174606323242,54.912208557128906,101.333740234375,23.560325622558594,128.04661560058594,1271.0909423828125,0.030803561210632324,0.18962912087912087,0.18962912087912087,0.0001497937774658203,1.5942382812499998e-06,0.01635685139329679
0,group_l2_actual_g4,4,actual,0,1.0,0.8676167582417582,19.341278076171875,24.181560516357422,47.79624557495117,10.45410442352295,57.26272964477539,555.8180541992188,0.030803561210632324,0.18962912087912087,0.18962912087912087,0.0001497937774658203,1.5942382812499998e-06,0.1188574617235727
0,group_l2_analytic_g4,4,analytic,0,1.0,0.9582074175824176,38.819435119628906,48.62493133544922,88.49322509765625,21.120128631591797,115.1010971069336,1134.1185302734375,0.030803561210632324,0.18962912087912087,0.18962912087912087,0.0001497937774658203,1.5942382812499998e-06,0.02685453213824851
0,coordinate_actual,1,actual,0,1.0,0.8302541208791209,13.342789649963379,17.626659393310547,33.22850036621094,7.270888328552246,39.517879486083984,390.06378173828125,0.030803561210632324,0.18962912087912087,0.18962912087912087,0.0001497937774658203,1.5942382812499998e-06,0.15680256687476024
0,coordinate_analytic,1,analytic,0,1.0,0.9350961538461539,31.162004470825195,38.16823196411133,70.60145568847656,17.060230255126953,93.37017822265625,915.199462890625,0.030803561210632324,0.18962912087912087,0.18962912087912087,0.0001497937774658203,1.5942382812499998e-06,0.050326090747393026
13,global_l2_actual,N/A,actual,0,1.0,0.19505494505494506,0.8650106191635132,1.0846850872039795,1.2356243133544922,15.90652084350586,84.64957427978516,845.1494750976562,0.0307692289352417,0.020913461538461537,0.020913461538461537,3.735511779785156e-06,5.381584167480468e-08,0.41527691990940907
13,global_l2_analytic,N/A,analytic,0,1.0,0.3335851648351648,1.5205172300338745,1.9158318042755127,2.1580169200897217,28.05630111694336,149.53958129882812,1477.697265625,0.0307692289352417,0.020913461538461537,0.020913461538461537,3.735511779785156e-06,5.381584167480468e-08,0.0
13,group_l2_actual_g32,32,actual,0,1.0,0.1901098901098901,0.8482613563537598,1.0522956848144531,1.198998212814331,15.573420524597168,82.74866485595703,828.6882934570312,0.0307692289352417,0.020913461538461537,0.020913461538461537,3.735511779785156e-06,5.381584167480468e-08,0.43010088532015645
13,group_l2_analytic_g32,32,analytic,0,1.0,0.3260302197802198,1.4928375482559204,1.8585689067840576,2.0911295413970947,27.44751739501953,146.1548614501953,1439.8575439453125,0.0307692289352417,0.020913461538461537,0.020913461538461537,3.735511779785156e-06,5.381584167480468e-08,0.0226477249330862
13,group_l2_actual_g16,16,actual,0,1.0,0.17760989010989012,0.7961052656173706,0.970255434513092,1.111031413078308,14.540843963623047,76.94088745117188,763.1648559570312,0.0307692289352417,0.020913461538461537,0.020913461538461537,3.735511779785156e-06,5.381584167480468e-08,0.46757257566399
13,group_l2_analytic_g16,16,analytic,0,1.0,0.3074519230769231,1.4120759963989258,1.7167829275131226,1.933395504951477,25.727962493896484,137.00477600097656,1336.7369384765625,0.0307692289352417,0.020913461538461537,0.020913461538461537,3.735511779785156e-06,5.381584167480468e-08,0.07834053942763008
