certificate_type,target_sparsity,actual_sparsity,valid_tiles,certificate_violations,naive_mismatch_count,naive_mismatch_rate,false_drop_count,false_drop_rate,false_keep_count,false_keep_rate,certimask_mismatch_count,certimask_match_rate,certain_keep_count,certain_drop_count,ambiguous_count,refinement_rate,rho_mean,rho_p50,rho_p90,rho_p99,rho_max,margin_over_bound_mean,margin_over_bound_p50,margin_over_bound_p90
actual,0.7,0.7647058823529411,1904,0,482,0.25315126050420167,163,0.08560924369747899,319,0.16754201680672268,0,1.0,0,15,1889,0.9921218487394958,0.0694844201207161,0.05442984774708748,0.15735512971878052,0.2357901781797409,0.30045613646507263,0.12004727125167847,0.028279228135943413,0.42612046003341675
actual,0.8,0.8676470588235294,1904,0,466,0.24474789915966386,105,0.05514705882352941,361,0.18960084033613445,0,1.0,0,39,1865,0.979516806722689,0.0694844201207161,0.05442984774708748,0.15735512971878052,0.2357901781797409,0.30045613646507263,0.14155136048793793,0.03393525630235672,0.49320554733276367
actual,0.85,0.9044117647058824,1904,0,433,0.22741596638655462,71,0.037289915966386554,362,0.19012605042016806,0,1.0,0,52,1852,0.9726890756302521,0.0694844201207161,0.05442984774708748,0.15735512971878052,0.2357901781797409,0.30045613646507263,0.15218931436538696,0.03678172081708908,0.5312904119491577
actual,0.9,0.9558823529411765,1904,0,393,0.20640756302521007,34,0.017857142857142856,359,0.18855042016806722,0,1.0,0,77,1827,0.9595588235294118,0.0694844201207161,0.05442984774708748,0.15735512971878052,0.2357901781797409,0.30045613646507263,0.17684124410152435,0.04452049732208252,0.6191511750221252
analytic,0.7,0.7647058823529411,1904,0,482,0.25315126050420167,163,0.08560924369747899,319,0.16754201680672268,0,1.0,0,1,1903,0.9994747899159664,0.03785795345902443,0.029139313846826553,0.0861973837018013,0.13557757437229156,0.17495039105415344,0.0648731142282486,0.015316462144255638,0.23885439336299896
analytic,0.8,0.8676470588235294,1904,0,466,0.24474789915966386,105,0.05514705882352941,361,0.18960084033613445,0,1.0,0,1,1903,0.9994747899159664,0.03785795345902443,0.029139313846826553,0.0861973837018013,0.13557757437229156,0.17495039105415344,0.07641955465078354,0.018837235867977142,0.274274080991745
analytic,0.85,0.9044117647058824,1904,0,433,0.22741596638655462,71,0.037289915966386554,362,0.19012605042016806,0,1.0,0,1,1903,0.9994747899159664,0.03785795345902443,0.029139313846826553,0.0861973837018013,0.13557757437229156,0.17495039105415344,0.08214057981967926,0.019698020070791245,0.29234063625335693
analytic,0.9,0.9558823529411765,1904,0,393,0.20640756302521007,34,0.017857142857142856,359,0.18855042016806722,0,1.0,0,1,1903,0.9994747899159664,0.03785795345902443,0.029139313846826553,0.0861973837018013,0.13557757437229156,0.17495039105415344,0.09544044733047485,0.023109713569283485,0.34562352299690247
