layer,block_size,target_sparsity,mask_type,oracle_gap_mass,oracle_gap_l2
12,16,0.4,random,0.37377214431762695,0.45204737037420273
12,16,0.4,mean_pooled_score,0.19235670566558838,0.32729970663785934
12,16,0.4,oracle_block_mass,0.0,0.0
12,16,0.4,local_window,0.05206120014190674,0.1044066771864891
12,16,0.4,landmark,0.10323727130889893,0.18634221702814102
12,16,0.4,landmark,0.10236144065856934,0.18539675325155258
12,16,0.4,landmark,0.09559142589569092,0.17832175642251968
12,16,0.4,landmark,0.09641808271408081,0.18020296841859818
12,16,0.4,local_plus_landmark,0.10324370861053467,0.18634811788797379
12,16,0.4,local_plus_landmark,0.10236787796020508,0.18540263921022415
12,16,0.4,local_plus_landmark,0.09582895040512085,0.17827237397432327
12,16,0.4,local_plus_landmark,0.09645241498947144,0.1802426502108574
12,16,0.4,local_plus_landmark,0.11351567506790161,0.20771446079015732
12,16,0.4,local_plus_landmark,0.11467611789703369,0.21102827042341232
12,16,0.4,local_plus_landmark,0.10649377107620239,0.2002611979842186
12,16,0.4,local_plus_landmark,0.10703438520431519,0.20205145329236984
12,16,0.4,aglr_adaptive_m0.90,0.1871112585067749,0.35387133806943893
12,16,0.4,aglr_adaptive_m0.90,0.15599125623703003,0.28499703854322433
12,16,0.4,aglr_adaptive_m0.90,0.184076189994812,0.35091685503721237
12,16,0.4,aglr_adaptive_m0.90,0.15557855367660522,0.2831234261393547
12,16,0.4,aglr_adaptive_m0.90,0.17612814903259277,0.3376934751868248
12,16,0.4,aglr_adaptive_m0.90,0.14267432689666748,0.26133181899785995
12,16,0.4,aglr_adaptive_m0.90,0.17287707328796387,0.3388807997107506
12,16,0.4,aglr_adaptive_m0.90,0.1457783579826355,0.27092521637678146
12,16,0.4,aglr_adaptive_m0.95,0.18037766218185425,0.3466842994093895
12,16,0.4,aglr_adaptive_m0.95,0.15494126081466675,0.28436511009931564
12,16,0.4,aglr_adaptive_m0.95,0.17954683303833008,0.34672435373067856
12,16,0.4,aglr_adaptive_m0.95,0.1555069088935852,0.28309138864278793
12,16,0.4,aglr_adaptive_m0.95,0.16695809364318848,0.32717227190732956
12,16,0.4,aglr_adaptive_m0.95,0.14160650968551636,0.2604174539446831
12,16,0.4,aglr_adaptive_m0.95,0.16907721757888794,0.3351074680685997
12,16,0.4,aglr_adaptive_m0.95,0.1457783579826355,0.27092521637678146
12,16,0.5,random,0.4445513188838959,0.5255269184708595
12,16,0.5,mean_pooled_score,0.22847580909729004,0.36866433173418045
12,16,0.5,oracle_block_mass,0.0,0.0
12,16,0.5,local_window,0.04926443099975586,0.11315586417913437
12,16,0.5,landmark,0.14623034000396729,0.28730661422014236
12,16,0.5,landmark,0.15229207277297974,0.2950996235013008
12,16,0.5,landmark,0.13317787647247314,0.2635229304432869
12,16,0.5,landmark,0.13715600967407227,0.273541159927845
12,16,0.5,local_plus_landmark,0.14932942390441895,0.2933008745312691
12,16,0.5,local_plus_landmark,0.15722984075546265,0.3100886717438698
12,16,0.5,local_plus_landmark,0.13858705759048462,0.2731829956173897
12,16,0.5,local_plus_landmark,0.1423046588897705,0.2831918075680733
12,16,0.5,local_plus_landmark,0.1446617841720581,0.2764427438378334
12,16,0.5,local_plus_landmark,0.15010970830917358,0.28786570578813553
12,16,0.5,local_plus_landmark,0.13096249103546143,0.2484826222062111
12,16,0.5,local_plus_landmark,0.13530409336090088,0.2599457874894142
12,16,0.5,aglr_adaptive_m0.90,0.1541285514831543,0.3134542778134346
12,16,0.5,aglr_adaptive_m0.90,0.12300854921340942,0.24457997828722
12,16,0.5,aglr_adaptive_m0.90,0.1510934829711914,0.31049979478120804
12,16,0.5,aglr_adaptive_m0.90,0.12259584665298462,0.24270636588335037
12,16,0.5,aglr_adaptive_m0.90,0.14314544200897217,0.29727641493082047
12,16,0.5,aglr_adaptive_m0.90,0.10969161987304688,0.22091475874185562
12,16,0.5,aglr_adaptive_m0.90,0.13989436626434326,0.29846373945474625
12,16,0.5,aglr_adaptive_m0.90,0.11279565095901489,0.23050815612077713
12,16,0.5,aglr_adaptive_m0.95,0.14739495515823364,0.30626723915338516
12,16,0.5,aglr_adaptive_m0.95,0.12195855379104614,0.2439480498433113
12,16,0.5,aglr_adaptive_m0.95,0.14656412601470947,0.3063072934746742
12,16,0.5,aglr_adaptive_m0.95,0.1225242018699646,0.2426743283867836
12,16,0.5,aglr_adaptive_m0.95,0.13397538661956787,0.2867552116513252
12,16,0.5,aglr_adaptive_m0.95,0.10862380266189575,0.22000039368867874
12,16,0.5,aglr_adaptive_m0.95,0.13609451055526733,0.29469040781259537
12,16,0.5,aglr_adaptive_m0.95,0.11279565095901489,0.23050815612077713
