layer,block_size,target_sparsity,mask_type,local_blocks,landmark_method,num_landmarks,score_method,local_budget_overflow_rate,oracle_gap_mass,oracle_gap_l2,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,quality_pass,strong_quality_pass
12,16,0.0,dense,0,none,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0000001192092896,1.0976302089460432e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.4990234375,False,False
12,16,0.4,random,0,none,0,none,0.0,0.37377214431762695,0.45204737037420273,0.40354437229437234,0.5964556277056277,0.5843032002449036,0.6301215887069702,0.9762095212936401,0.4156968593597412,0.5032879710197449,1.0528186559677124,0.8339075446128845,0.39754319190979004,0.8113044500350952,10.10874080657959,0.7011173793247768,False,False
12,16,0.4,mean_pooled_score,0,none,0,none,0.0,0.19235670566558838,0.32729970663785934,0.43560606060606055,0.5643939393939394,0.7657186388969421,0.8401092290878296,0.9987602829933167,0.23428140580654144,0.3785403072834015,1.0,0.9437705874443054,0.9045584797859192,0.4373128116130829,5.761544704437256,0.72271728515625,False,False
12,16,0.4,oracle_block_mass,0,none,0,none,0.0,0.0,0.0,0.37310606060606055,0.6268939393939394,0.9580753445625305,0.9796634912490845,0.9998530149459839,0.04192473366856575,0.051240600645542145,0.15050186216831207,0.996094286441803,0.9910106658935547,0.0838494673371315,0.8735275268554688,0.6899675641741072,False,False
12,16,0.4,local_window,0,none,0,none,0.0,0.05206120014190674,0.1044066771864891,0.17234848484848486,0.8276515151515151,0.9060141444206238,0.9999999403953552,1.0000001192092896,0.09398578852415085,0.15564727783203125,0.5485923886299133,0.9959738850593567,0.9914084672927856,0.1879715919494629,2.3429319858551025,0.587890625,False,False
12,16,0.4,landmark,0,mean_plus_max_norm,2,max,0.0,0.10323727130889893,0.18634221702814102,0.37310606060606055,0.6268939393939394,0.8548380732536316,0.9168850183486938,0.9997641444206238,0.1451619416475296,0.23758281767368317,0.6819828152656555,0.9891131520271301,0.9752975106239319,0.2903238832950592,3.522050380706787,0.6913735525948661,False,False
12,16,0.4,landmark,0,mean_plus_max_norm,2,hybrid,0.0,0.10236144065856934,0.18539675325155258,0.37310606060606055,0.6268939393939394,0.8557139039039612,0.9207272529602051,0.9997583031654358,0.1442861258983612,0.23663735389709473,0.6838297843933105,0.9889987111091614,0.975509524345398,0.2885722815990448,3.5000133514404297,0.6913735525948661,False,False
12,16,0.4,landmark,0,mean_plus_topk_norm,2,max,0.0,0.09559142589569092,0.17832175642251968,0.37310606060606055,0.6268939393939394,0.8624839186668396,0.9348713159561157,0.9996948838233948,0.1375160962343216,0.22956235706806183,0.681850790977478,0.9884189367294312,0.9754281044006348,0.2750321924686432,3.3308908939361572,0.6913408551897322,False,False
12,16,0.4,landmark,0,mean_plus_topk_norm,2,hybrid,0.0,0.09641808271408081,0.18020296841859818,0.37310606060606055,0.6268939393939394,0.8616572618484497,0.9377845525741577,0.9997115135192871,0.1383427083492279,0.23144356906414032,0.6950592994689941,0.9886277318000793,0.9757977724075317,0.2766854166984558,3.3561439514160156,0.6913735525948661,False,False
12,16,0.4,local_plus_landmark,1,mean_plus_max_norm,2,max,0.03125,0.10324370861053467,0.18634811788797379,0.37310606060606055,0.6268939393939394,0.8548316359519958,0.9168850183486938,0.9997641444206238,0.14516839385032654,0.23758871853351593,0.6819828152656555,0.989113986492157,0.9752975106239319,0.2903367877006531,3.5221760272979736,0.69140625,False,False
12,16,0.4,local_plus_landmark,1,mean_plus_max_norm,2,hybrid,0.03125,0.10236787796020508,0.18540263921022415,0.37310606060606055,0.6268939393939394,0.8557074666023254,0.9207272529602051,0.9997583031654358,0.14429257810115814,0.2366432398557663,0.6838297843933105,0.9889995455741882,0.975509524345398,0.2885851263999939,3.5001392364501953,0.69140625,False,False
