layer,strategy_name,group_size,valid_tiles,actual_sparsity,naive_mismatch_rate,false_drop_rate,false_keep_rate,certificate_violations,certimask_exact_match_rate,analytic_refinement_rate,actual_refinement_rate,score_error_p50,score_error_p90,score_error_p99,bound_p50,bound_p90,bound_p99,rho_p50,rho_p90,rho_p99,rho_max,score_std,abs_score_p50,abs_score_p90,abs_score_p99
0,k_only_per_group_g16_coordinate_analytic,16,29120,0.8658653846153846,0.1461195054945055,0.015625,0.1304945054945055,0,1.0,0.7682348901098901,0.7682348901098901,0.8031158447265625,2.4097471237182617,5.666241645812988,8.697997093200684,14.778101921081543,20.499967575073242,10.558008193969727,60.0455207824707,589.6498413085938,504701.15625,214.5881805419922,149.7937774658203,496.2427673339844,960.52783203125
0,k_only_per_group_g8_coordinate_analytic,8,29120,0.8658653846153846,0.11256868131868132,0.01243131868131868,0.10013736263736264,0,1.0,0.6190247252747253,0.6190247252747253,0.3729572296142578,1.429810881614685,2.3994345664978027,3.7121834754943848,9.572080612182617,11.466127395629883,10.036226272583008,59.60306930541992,667.2824096679688,219981.609375,214.5881805419922,149.7937774658203,496.2427673339844,960.52783203125
0,k_only_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.06335851648351648,0.008207417582417583,0.0551510989010989,0,1.0,0.5073145604395605,0.5073145604395605,0.21285247802734375,0.780474841594696,1.6345709562301636,1.9857792854309082,5.844212532043457,6.40995454788208,10.848864555358887,63.16278076171875,671.3618774414062,1964615008256.0,214.5881805419922,149.7937774658203,496.2427673339844,960.52783203125
0,k_only_per_vector_coordinate_analytic,0,29120,0.8658653846153846,0.11449175824175824,0.018166208791208793,0.09632554945054946,0,1.0,0.9178571428571428,0.9178571428571428,0.9748992919921875,2.518418788909912,3.9988646507263184,29.53290367126465,32.272735595703125,63.08815383911133,26.632801055908203,139.7840576171875,1474.6075439453125,497342.84375,214.5881805419922,149.7937774658203,496.2427673339844,960.52783203125
0,qk_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.07012362637362637,0.013770604395604395,0.05635302197802198,0,1.0,0.6514766483516483,0.6514766483516483,0.28955078125,1.0126373767852783,2.198951244354248,4.174947738647461,11.405024528503418,12.52761173248291,16.231037139892578,84.727294921875,863.6224365234375,175390.5625,214.5881805419922,149.7937774658203,496.2427673339844,960.52783203125
1,k_only_per_group_g16_coordinate_analytic,16,29120,0.8658653846153846,0.04941620879120879,0.006456043956043956,0.042960164835164835,0,1.0,0.33605769230769234,0.33605769230769234,0.036531489342451096,0.5789855718612671,1.602799654006958,0.6369142532348633,4.242926597595215,4.566651344299316,9.396256446838379,52.26750946044922,500.8240051269531,2612545454080.0,121.2702865600586,16.296602249145508,310.09393310546875,356.382568359375
1,k_only_per_group_g8_coordinate_analytic,8,29120,0.8658653846153846,0.044608516483516485,0.004395604395604396,0.04021291208791209,0,1.0,0.2952953296703297,0.2952953296703297,0.023279666900634766,0.478363037109375,1.383926272392273,0.3849751651287079,3.35011887550354,3.603867530822754,10.097980499267578,49.59082794189453,536.4849853515625,116119.453125,121.2702865600586,16.296602249145508,310.09393310546875,356.382568359375
1,k_only_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.031868131868131866,0.004979395604395604,0.026888736263736265,0,1.0,0.2657967032967033,0.2657967032967033,0.013771533966064453,0.37332987785339355,1.0775599479675293,0.24080410599708557,2.3874871730804443,2.6800498962402344,11.298234939575195,63.068199157714844,658.73583984375,78612086784.0,121.2702865600586,16.296602249145508,310.09393310546875,356.382568359375
1,k_only_per_vector_coordinate_analytic,0,29120,0.8658653846153846,0.056146978021978024,0.005597527472527473,0.05054945054945055,0,1.0,0.567135989010989,0.567135989010989,0.0643700361251831,0.6978164911270142,1.7346760034561157,2.675333261489868,10.273459434509277,11.004158020019531,21.252178192138672,116.60335540771484,1244.496337890625,656511.5,121.2702865600586,16.296602249145508,310.09393310546875,356.382568359375
1,qk_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.03938873626373626,0.005975274725274725,0.03341346153846154,0,1.0,0.309478021978022,0.309478021978022,0.02053000032901764,0.5078758001327515,1.3223977088928223,0.4839562773704529,4.346517086029053,4.719581127166748,15.542524337768555,85.00296783447266,843.4947509765625,134976.484375,121.2702865600586,16.296602249145508,310.09393310546875,356.382568359375
2,k_only_per_group_g16_coordinate_analytic,16,29120,0.8658653846153846,0.020432692307692308,0.004086538461538462,0.016346153846153847,0,1.0,0.13890796703296704,0.13890796703296704,0.049449920654296875,0.12285137176513672,0.21337555348873138,0.5316588878631592,0.6971741914749146,0.7372969388961792,9.402655601501465,49.02165985107422,488.5111389160156,638633574400.0,12.471944808959961,20.801536560058594,44.86406707763672,50.9694938659668
