head_index,certificate_type,target_sparsity,valid_tiles,naive_mismatch_rate,false_drop_rate,false_keep_rate,oracle_crossing_rate,actual_refinement_rate,analytic_refinement_rate,certimask_match_rate,rho_p90,rho_max
0,actual,0.85,2080,0.020192307692307693,0.0019230769230769232,0.01826923076923077,0.0033653846153846156,0.21923076923076923,0.21923076923076923,1.0,0.14968375861644745,0.36427295207977295
0,analytic,0.85,2080,0.020192307692307693,0.0019230769230769232,0.01826923076923077,0.0033653846153846156,0.36730769230769234,0.36730769230769234,1.0,0.08398515731096268,0.21149994432926178
1,actual,0.85,2080,0.01730769230769231,0.0019230769230769232,0.015384615384615385,0.0033653846153846156,0.15240384615384617,0.15240384615384617,1.0,0.13491326570510864,0.2828090488910675
1,analytic,0.85,2080,0.01730769230769231,0.0019230769230769232,0.015384615384615385,0.0033653846153846156,0.26826923076923076,0.26826923076923076,1.0,0.07698064297437668,0.16267016530036926
2,actual,0.85,2080,0.020192307692307693,0.002403846153846154,0.017788461538461538,0.0038461538461538464,0.2514423076923077,0.2514423076923077,1.0,0.14245736598968506,0.30471011996269226
2,analytic,0.85,2080,0.020192307692307693,0.002403846153846154,0.017788461538461538,0.0038461538461538464,0.4115384615384615,0.4115384615384615,1.0,0.08115532249212265,0.17325839400291443
3,actual,0.85,2080,0.023076923076923078,0.002403846153846154,0.020673076923076922,0.007211538461538462,0.24326923076923077,0.24326923076923077,1.0,0.14788900315761566,0.301785409450531
3,analytic,0.85,2080,0.023076923076923078,0.002403846153846154,0.020673076923076922,0.007211538461538462,0.37884615384615383,0.37884615384615383,1.0,0.08312246203422546,0.18168383836746216
4,actual,0.85,2080,0.017788461538461538,0.0009615384615384616,0.016826923076923076,0.0019230769230769232,0.16538461538461538,0.16538461538461538,1.0,0.14710097014904022,0.2808128595352173
4,analytic,0.85,2080,0.017788461538461538,0.0009615384615384616,0.016826923076923076,0.0019230769230769232,0.2701923076923077,0.2701923076923077,1.0,0.08354051411151886,0.1533966213464737
5,actual,0.85,2080,0.02403846153846154,0.0028846153846153848,0.021153846153846155,0.008653846153846154,0.2951923076923077,0.2951923076923077,1.0,0.13990150392055511,0.26722151041030884
5,analytic,0.85,2080,0.02403846153846154,0.0028846153846153848,0.021153846153846155,0.008653846153846154,0.49759615384615385,0.49759615384615385,1.0,0.0792987272143364,0.16007021069526672
6,actual,0.85,2080,0.01826923076923077,0.0028846153846153848,0.015384615384615385,0.004807692307692308,0.19230769230769232,0.19230769230769232,1.0,0.14689719676971436,0.2661980986595154
6,analytic,0.85,2080,0.01826923076923077,0.0028846153846153848,0.015384615384615385,0.004807692307692308,0.3230769230769231,0.3230769230769231,1.0,0.08364469558000565,0.15482334792613983
7,actual,0.85,2080,0.01875,0.0014423076923076924,0.01730769230769231,0.0028846153846153848,0.11009615384615384,0.11009615384615384,1.0,0.12931737303733826,0.28183797001838684
7,analytic,0.85,2080,0.01875,0.0014423076923076924,0.01730769230769231,0.0028846153846153848,0.18269230769230768,0.18269230769230768,1.0,0.07443542778491974,0.1620475947856903
8,actual,0.85,2080,0.01730769230769231,0.0009615384615384616,0.016346153846153847,0.0019230769230769232,0.11009615384615384,0.11009615384615384,1.0,0.15038076043128967,0.28922513127326965
8,analytic,0.85,2080,0.01730769230769231,0.0009615384615384616,0.016346153846153847,0.0019230769230769232,0.18028846153846154,0.18028846153846154,1.0,0.08601811528205872,0.15752819180488586
9,actual,0.85,2080,0.019230769230769232,0.002403846153846154,0.016826923076923076,0.0033653846153846156,0.12115384615384615,0.12115384615384615,1.0,0.1625092476606369,0.3549762964248657
9,analytic,0.85,2080,0.019230769230769232,0.002403846153846154,0.016826923076923076,0.0033653846153846156,0.18365384615384617,0.18365384615384617,1.0,0.09192254394292831,0.19451218843460083
10,actual,0.85,2080,0.020673076923076922,0.0019230769230769232,0.01875,0.005288461538461539,0.12884615384615383,0.12884615384615383,1.0,0.1500629484653473,0.2831539511680603
10,analytic,0.85,2080,0.020673076923076922,0.0019230769230769232,0.01875,0.005288461538461539,0.1951923076923077,0.1951923076923077,1.0,0.08483133465051651,0.16001075506210327
11,actual,0.85,2080,0.019230769230769232,0.0004807692307692308,0.01875,0.0028846153846153848,0.12884615384615383,0.12884615384615383,1.0,0.13680164515972137,0.2578642964363098
11,analytic,0.85,2080,0.019230769230769232,0.0004807692307692308,0.01875,0.0028846153846153848,0.19038461538461537,0.19038461538461537,1.0,0.07852128893136978,0.14744634926319122
12,actual,0.85,2080,0.017788461538461538,0.0009615384615384616,0.016826923076923076,0.0033653846153846156,0.09951923076923076,0.09951923076923076,1.0,0.15659773349761963,0.3040239214897156
12,analytic,0.85,2080,0.017788461538461538,0.0009615384615384616,0.016826923076923076,0.0033653846153846156,0.14375,0.14375,1.0,0.08939565718173981,0.18264473974704742
13,actual,0.85,2080,0.01971153846153846,0.0019230769230769232,0.017788461538461538,0.0033653846153846156,0.1293269230769231,0.1293269230769231,1.0,0.15750938653945923,0.35329535603523254
13,analytic,0.85,2080,0.01971153846153846,0.0019230769230769232,0.017788461538461538,0.0033653846153846156,0.20096153846153847,0.20096153846153847,1.0,0.09109192341566086,0.20580832660198212
