metric,value
score_std,3.855163812637329
score_mean,1.3231526613235474
score_p01,-10.416057586669922
score_p10,-3.1077232360839844
score_p50,1.9032796621322632
score_p90,5.258854389190674
score_p99,8.471901893615723
abs_score_p50,2.610809326171875
abs_score_p90,7.0159382820129395
abs_score_p99,10.601471900939941
threshold_mean,2.764913558959961
threshold_std,3.651627779006958
threshold_p10,-1.2717839479446411
threshold_p50,3.307122230529785
threshold_p90,6.175144195556641
abs_error_p50,0.020965576171875
abs_error_p90,0.06727583706378937
abs_error_p99,0.14538097381591797
actual_bound_p50,0.3271546959877014
actual_bound_p90,0.6711625456809998
actual_bound_p99,1.185927391052246
analytic_bound_p50,0.5744152069091797
analytic_bound_p90,1.1731096506118774
analytic_bound_p99,2.0619547367095947
margin_p10,0.19734612107276917
margin_p50,1.3829727172851562
margin_p90,3.343554973602295
ratio_error_to_margin_p50,0.016420409083366394
ratio_error_to_margin_p90,0.13741348683834076
ratio_error_to_margin_p99,272270.34375
ratio_actual_inflation_p50,16.472806930541992
ratio_actual_inflation_p90,89.52333068847656
ratio_actual_inflation_p99,904.1087646484375
ratio_analytic_inflation_p50,28.944408416748047
ratio_analytic_inflation_p90,158.1831512451172
ratio_analytic_inflation_p99,1601.730224609375
ratio_margin_to_actual_p50,3.547301769256592
ratio_margin_to_actual_p90,10.644606590270996
ratio_margin_to_actual_p99,16.675168991088867
ratio_margin_to_analytic_p50,2.016063690185547
ratio_margin_to_analytic_p90,6.062454700469971
ratio_margin_to_analytic_p99,9.367578506469727
