batch,head,query_block,valid_key_blocks,naive_mismatch,oracle_crossing,actual_refinement,analytic_refinement,mean_error,mean_margin,mean_actual_bound,mean_analytic_bound
0,0,0,1,0.0,0.0,64.0,64.0,2.9817657470703125,0.0,34.89235305786133,64.37531280517578
0,0,1,2,0.0,0.0,32.0,32.0,1.400909423828125,0.5521774291992188,33.42818832397461,63.33868408203125
0,0,2,3,0.0,0.0,21.333333333333332,21.333333333333332,0.2379658967256546,1.4674276113510132,32.45069885253906,57.927032470703125
0,0,3,4,0.0,0.0,16.0,16.0,4.229576110839844,2.1136512756347656,31.118661880493164,58.5023307800293
0,0,4,5,0.0,0.0,12.8,12.8,1.7290436029434204,2.7881226539611816,35.242088317871094,63.4665641784668
0,0,5,6,0.5,0.3333333333333333,10.666666666666666,10.666666666666666,3.6735737323760986,3.2805354595184326,34.468074798583984,64.97254943847656
0,0,6,7,0.14285714285714285,0.14285714285714285,9.142857142857142,9.142857142857142,1.787782907485962,2.605314016342163,33.24939727783203,62.08431625366211
0,0,7,8,0.5,0.375,8.0,8.0,3.20733642578125,2.734060287475586,29.472307205200195,56.24649429321289
0,0,8,9,0.1111111111111111,0.1111111111111111,7.111111111111111,7.111111111111111,1.1932389736175537,2.942754030227661,31.16352653503418,59.64656448364258
0,0,9,10,0.1,0.0,6.4,6.4,2.1121811866760254,3.7120590209960938,32.22526550292969,64.44552612304688
0,0,10,11,0.6363636363636364,0.5454545454545454,5.818181818181818,5.818181818181818,4.703744888305664,3.778642177581787,34.25731658935547,64.65774536132812
0,0,11,12,0.25,0.16666666666666666,5.333333333333333,5.333333333333333,3.631200075149536,3.856847047805786,31.211524963378906,61.05259323120117
0,0,12,13,0.46153846153846156,0.38461538461538464,4.923076923076923,4.923076923076923,4.393991470336914,4.2775797843933105,28.388813018798828,54.697914123535156
0,0,13,14,0.14285714285714285,0.14285714285714285,4.571428571428571,4.571428571428571,1.9930169582366943,3.396785259246826,33.44585037231445,61.54037857055664
0,0,14,15,0.13333333333333333,0.13333333333333333,4.266666666666667,4.266666666666667,1.1308847665786743,3.509727954864502,34.47888946533203,64.38075256347656
0,0,15,16,0.5,0.4375,4.0,4.0,3.80019474029541,3.736448287963867,34.309810638427734,63.95734405517578
0,0,16,17,0.0,0.0,3.764705882352941,3.764705882352941,0.6879398226737976,3.5681207180023193,31.004772186279297,59.693668365478516
0,0,17,18,0.0,0.0,3.5555555555555554,3.5555555555555554,0.7797012329101562,3.933458089828491,30.21651840209961,58.56100082397461
0,0,18,19,0.05263157894736842,0.05263157894736842,3.3684210526315788,3.3684210526315788,0.8517234921455383,4.093730926513672,32.6464958190918,62.472476959228516
0,0,19,20,0.0,0.0,3.2,3.2,1.0190246105194092,4.170922756195068,33.96670913696289,64.54020690917969
0,0,20,21,0.047619047619047616,0.047619047619047616,3.0476190476190474,3.0476190476190474,1.0848729610443115,3.3288159370422363,33.970306396484375,63.42581558227539
0,0,21,22,0.0,0.0,2.909090909090909,2.909090909090909,0.9272724390029907,3.499255895614624,30.429529190063477,59.52299499511719
0,0,22,23,0.043478260869565216,0.043478260869565216,2.782608695652174,2.782608695652174,1.7208888530731201,3.4114022254943848,32.26492691040039,59.42013931274414
0,0,23,24,0.375,0.3333333333333333,2.6666666666666665,2.6666666666666665,2.00683331489563,3.6065635681152344,32.62345886230469,62.88690185546875
0,0,24,25,0.04,0.04,2.56,2.56,1.2296264171600342,3.648263454437256,33.369651794433594,64.4290542602539
0,0,25,26,0.038461538461538464,0.038461538461538464,2.4615384615384617,2.4615384615384617,1.6130030155181885,3.970646381378174,32.402915954589844,62.96500015258789
0,0,26,27,0.037037037037037035,0.037037037037037035,2.3703703703703702,2.3703703703703702,0.9813622236251831,3.735135316848755,30.516189575195312,58.689598083496094
0,0,27,28,0.03571428571428571,0.03571428571428571,2.2857142857142856,2.2857142857142856,1.0747305154800415,3.844075918197632,30.78415870666504,59.10872268676758
0,0,28,29,0.06896551724137931,0.034482758620689655,2.206896551724138,2.206896551724138,0.9925695061683655,4.331639289855957,31.0391788482666,63.709083557128906
0,0,29,30,0.3,0.26666666666666666,2.1333333333333333,2.1333333333333333,2.9426157474517822,4.548746585845947,34.98536682128906,64.82373046875
0,0,30,31,0.06451612903225806,0.06451612903225806,2.064516129032258,2.064516129032258,2.8724920749664307,4.704432010650635,33.108428955078125,61.67149353027344
0,0,31,32,0.125,0.09375,2.0,2.0,0.9819521903991699,4.744671821594238,28.950027465820312,55.445377349853516
0,0,32,33,0.09090909090909091,0.09090909090909091,1.9393939393939394,1.9393939393939394,3.337998390197754,4.906963348388672,31.170276641845703,60.132972717285156
0,0,33,34,0.20588235294117646,0.17647058823529413,1.8823529411764706,1.8823529411764706,2.796778678894043,5.049190044403076,32.60940933227539,64.68220520019531
0,0,34,35,0.2,0.17142857142857143,1.8285714285714285,1.8285714285714285,2.3316311836242676,4.980380535125732,34.090702056884766,64.43828582763672
0,0,35,36,0.16666666666666666,0.1388888888888889,1.7777777777777777,1.7777777777777777,1.577829122543335,5.069297790527344,30.62752342224121,60.54561996459961
0,0,36,37,0.08108108108108109,0.08108108108108109,1.7297297297297298,1.7297297297297298,2.347508668899536,5.235774517059326,30.28573989868164,55.381980895996094
0,0,37,38,0.07894736842105263,0.07894736842105263,1.6842105263157894,1.6842105263157894,2.0044524669647217,5.349924087524414,32.767791748046875,61.940155029296875
0,0,38,39,0.07692307692307693,0.07692307692307693,1.641025641025641,1.641025641025641,2.5310564041137695,5.43310546875,35.468753814697266,64.59083557128906
0,0,39,40,0.175,0.15,1.6,1.6,2.327845811843872,5.4629082679748535,33.04933547973633,63.692283630371094
0,0,40,41,0.0975609756097561,0.0975609756097561,1.5609756097560976,1.5609756097560976,3.0956499576568604,5.271512508392334,32.71197509765625,59.19629669189453
0,0,41,42,0.07142857142857142,0.07142857142857142,1.5238095238095237,1.5238095238095237,1.6648839712142944,5.6979193687438965,31.168500900268555,57.512107849121094
0,0,42,43,0.09302325581395349,0.06976744186046512,1.4883720930232558,1.4883720930232558,1.2143497467041016,5.599584102630615,34.29924392700195,62.848995208740234
0,0,43,44,0.09090909090909091,0.06818181818181818,1.4545454545454546,1.4545454545454546,1.2445297241210938,5.575769901275635,33.82189178466797,64.51775360107422
0,0,44,45,0.08888888888888889,0.08888888888888889,1.4222222222222223,1.4222222222222223,2.0341334342956543,5.809189796447754,33.160743713378906,63.06000900268555
0,0,45,46,0.08695652173913043,0.08695652173913043,1.391304347826087,1.391304347826087,1.808801293373108,5.9008941650390625,32.22690200805664,58.79035568237305
0,0,46,47,0.0425531914893617,0.0425531914893617,1.3617021276595744,1.3617021276595744,1.8529011011123657,5.5006608963012695,30.015859603881836,59.01063919067383
0,0,47,48,0.22916666666666666,0.20833333333333334,1.3333333333333333,1.3333333333333333,3.542158365249634,5.647031307220459,31.52642822265625,63.2299919128418
0,0,48,49,0.04081632653061224,0.04081632653061224,1.3061224489795917,1.3061224489795917,1.0287784337997437,5.637071132659912,34.19647979736328,64.34429168701172
0,0,49,50,0.1,0.1,1.28,1.28,2.362163782119751,5.95633602142334,32.27934646606445,62.560142517089844
0,0,50,51,0.09803921568627451,0.0784313725490196,1.2549019607843137,1.2549019607843137,1.28107488155365,5.793010711669922,32.1790885925293,59.41545867919922
0,0,51,52,0.09615384615384616,0.09615384615384616,1.2307692307692308,1.2307692307692308,1.6916556358337402,5.9010114669799805,30.777095794677734,59.64762878417969
0,0,52,53,0.0,0.0,1.2075471698113207,1.2075471698113207,1.106952428817749,5.891695976257324,33.541175842285156,63.93095397949219
0,0,53,54,0.2037037037037037,0.18518518518518517,1.1851851851851851,1.1851851851851851,3.0397253036499023,5.206358909606934,35.98223114013672,64.69147491455078
0,0,54,55,0.2,0.18181818181818182,1.1636363636363636,1.1636363636363636,3.4801199436187744,5.104238033294678,34.21684265136719,61.205291748046875
0,0,55,56,0.07142857142857142,0.05357142857142857,1.1428571428571428,1.1428571428571428,0.9584298729896545,5.169684410095215,31.670368194580078,57.29890823364258
0,0,56,57,0.0,0.0,1.1228070175438596,1.1228070175438596,2.2106001377105713,5.425712585449219,31.43187141418457,60.66282653808594
0,0,57,58,0.1206896551724138,0.10344827586206896,1.103448275862069,1.103448275862069,1.9544662237167358,5.227948188781738,37.10798263549805,64.8857192993164
0,0,58,59,0.2033898305084746,0.1864406779661017,1.0847457627118644,1.0847457627118644,3.904409170150757,5.164426326751709,35.12067413330078,64.26887512207031
0,0,59,60,0.06666666666666667,0.05,1.0666666666666667,1.0666666666666667,1.1607592105865479,5.278338432312012,31.53376579284668,60.00482940673828
0,0,60,61,0.11475409836065574,0.11475409836065574,1.0491803278688525,1.0491803278688525,3.8772308826446533,4.9881205558776855,31.224414825439453,56.10537338256836
0,0,61,62,0.03225806451612903,0.016129032258064516,1.032258064516129,1.032258064516129,1.480313777923584,5.119863510131836,33.19687271118164,62.34650421142578
0,0,62,63,0.031746031746031744,0.031746031746031744,1.0158730158730158,1.0158730158730158,2.6377317905426025,5.005929946899414,36.26909637451172,64.66548919677734
0,0,63,64,0.28125,0.265625,1.0,1.0,4.126178741455078,4.738643646240234,34.603031158447266,63.40769577026367
0,1,0,1,0.0,0.0,34.0,64.0,1.98638916015625,0.0,26.388507843017578,49.111778259277344
0,1,1,2,0.5,0.0,16.0,28.5,3.175262451171875,6.3541259765625,26.758005142211914,49.68169403076172
0,1,2,3,0.3333333333333333,0.0,11.333333333333334,21.333333333333332,0.89361572265625,9.3095703125,28.607763290405273,53.34788513183594
0,1,3,4,0.25,0.0,9.25,16.0,2.644561767578125,11.353057861328125,26.82023811340332,49.858821868896484
0,1,4,5,0.0,0.0,7.0,12.0,1.2453124523162842,13.375940322875977,25.424545288085938,47.45109558105469
0,1,5,6,0.0,0.0,6.5,10.666666666666666,1.3716531991958618,14.4490966796875,28.926361083984375,52.793182373046875
0,1,6,7,0.2857142857142857,0.14285714285714285,6.857142857142857,9.142857142857142,1.1519862413406372,4.98638916015625,27.145938873291016,52.312374114990234
0,1,7,8,0.125,0.125,6.25,8.0,1.326751708984375,4.998985290527344,23.69243049621582,45.937339782714844
0,1,8,9,0.1111111111111111,0.1111111111111111,6.222222222222222,7.111111111111111,1.7317572832107544,5.400336265563965,26.520864486694336,50.64388656616211
