head_index,certificate_type,target_sparsity,valid_tiles,naive_mismatch_rate,false_drop_rate,false_keep_rate,oracle_crossing_rate,actual_refinement_rate,analytic_refinement_rate,certimask_match_rate,rho_p90,rho_max
0,actual,0.85,2080,0.11586538461538462,0.03221153846153846,0.08365384615384615,0.10288461538461538,1.0,1.0,1.0,0.1280868649482727,0.21551258862018585
0,analytic,0.85,2080,0.11586538461538462,0.03221153846153846,0.08365384615384615,0.10288461538461538,1.0,1.0,1.0,0.0680316835641861,0.11631423234939575
1,actual,0.85,2080,0.03942307692307692,0.01826923076923077,0.021153846153846155,0.027403846153846154,0.7302884615384615,0.7302884615384615,1.0,0.1414630264043808,0.2885257601737976
1,analytic,0.85,2080,0.03942307692307692,0.01826923076923077,0.021153846153846155,0.027403846153846154,1.0,1.0,1.0,0.07650308310985565,0.14467503130435944
2,actual,0.85,2080,0.23557692307692307,0.052884615384615384,0.18269230769230768,0.21971153846153846,1.0,1.0,1.0,0.13586226105690002,0.21244943141937256
2,analytic,0.85,2080,0.23557692307692307,0.052884615384615384,0.18269230769230768,0.21971153846153846,1.0,1.0,1.0,0.07212238013744354,0.11350320279598236
3,actual,0.85,2080,0.20096153846153847,0.02980769230769231,0.17115384615384616,0.18653846153846154,1.0,1.0,1.0,0.11215250939130783,0.22124852240085602
3,analytic,0.85,2080,0.20096153846153847,0.02980769230769231,0.17115384615384616,0.18653846153846154,1.0,1.0,1.0,0.05904257297515869,0.1109384149312973
4,actual,0.85,2080,0.036057692307692304,0.013942307692307693,0.022115384615384617,0.019230769230769232,0.5980769230769231,0.5980769230769231,1.0,0.12387926876544952,0.23387567698955536
4,analytic,0.85,2080,0.036057692307692304,0.013942307692307693,0.022115384615384617,0.019230769230769232,0.9456730769230769,0.9456730769230769,1.0,0.06736064702272415,0.1274891197681427
5,actual,0.85,2080,0.029326923076923077,0.020192307692307693,0.009134615384615385,0.022115384615384617,0.4951923076923077,0.4951923076923077,1.0,0.14616848528385162,0.28224310278892517
5,analytic,0.85,2080,0.029326923076923077,0.020192307692307693,0.009134615384615385,0.022115384615384617,0.8394230769230769,0.8394230769230769,1.0,0.07884571701288223,0.15789741277694702
6,actual,0.85,2080,0.28509615384615383,0.06298076923076923,0.2221153846153846,0.2692307692307692,1.0,1.0,1.0,0.1264008730649948,0.21301710605621338
6,analytic,0.85,2080,0.28509615384615383,0.06298076923076923,0.2221153846153846,0.2692307692307692,1.0,1.0,1.0,0.0671355351805687,0.11352786421775818
7,actual,0.85,2080,0.04230769230769231,0.017788461538461538,0.02451923076923077,0.03701923076923077,0.9774038461538461,0.9774038461538461,1.0,0.1725788414478302,0.32311469316482544
7,analytic,0.85,2080,0.04230769230769231,0.017788461538461538,0.02451923076923077,0.03701923076923077,1.0,1.0,1.0,0.09611465036869049,0.17685185372829437
8,actual,0.85,2080,0.5759615384615384,0.03028846153846154,0.5456730769230769,0.5538461538461539,1.0,1.0,1.0,0.14679448306560516,0.21728861331939697
8,analytic,0.85,2080,0.5759615384615384,0.03028846153846154,0.5456730769230769,0.5538461538461539,1.0,1.0,1.0,0.07847582548856735,0.1190289556980133
9,actual,0.85,2080,0.14086538461538461,0.015865384615384615,0.125,0.11826923076923077,1.0,1.0,1.0,0.14156609773635864,0.23659658432006836
9,analytic,0.85,2080,0.14086538461538461,0.015865384615384615,0.125,0.11826923076923077,1.0,1.0,1.0,0.07824522256851196,0.1337456852197647
10,actual,0.85,2080,0.24807692307692308,0.05096153846153846,0.1971153846153846,0.23653846153846153,1.0,1.0,1.0,0.1952102780342102,0.33544448018074036
10,analytic,0.85,2080,0.24807692307692308,0.05096153846153846,0.1971153846153846,0.23653846153846153,1.0,1.0,1.0,0.10211963206529617,0.17033830285072327
11,actual,0.85,2080,0.20961538461538462,0.041826923076923074,0.16778846153846153,0.19567307692307692,1.0,1.0,1.0,0.13832269608974457,0.2599065899848938
11,analytic,0.85,2080,0.20961538461538462,0.041826923076923074,0.16778846153846153,0.19567307692307692,1.0,1.0,1.0,0.0777696892619133,0.14831951260566711
12,actual,0.85,2080,0.36153846153846153,0.01826923076923077,0.34326923076923077,0.34134615384615385,1.0,1.0,1.0,0.12431567162275314,0.21936501562595367
12,analytic,0.85,2080,0.36153846153846153,0.01826923076923077,0.34326923076923077,0.34134615384615385,1.0,1.0,1.0,0.06714893132448196,0.11163908243179321
13,actual,0.85,2080,0.13413461538461538,0.04903846153846154,0.08509615384615385,0.1201923076923077,1.0,1.0,1.0,0.0991196483373642,0.22788792848587036
13,analytic,0.85,2080,0.13413461538461538,0.04903846153846154,0.08509615384615385,0.1201923076923077,1.0,1.0,1.0,0.05602779611945152,0.13333183526992798
