metric,value
score_std,214.5881805419922
score_mean,255.54983520507812
score_p01,29.202302932739258
score_p10,82.33242797851562
score_p50,149.7937774658203
score_p90,496.2427673339844
score_p99,960.52783203125
abs_score_p50,149.7937774658203
abs_score_p90,496.2427673339844
abs_score_p99,960.52783203125
threshold_mean,260.0732116699219
threshold_std,216.3494415283203
threshold_p10,90.83465576171875
threshold_p50,151.6439208984375
threshold_p90,497.9720153808594
abs_error_p50,1.5943565368652344
abs_error_p90,4.625420093536377
abs_error_p99,10.178796768188477
actual_bound_p50,31.79404067993164
actual_bound_p90,41.365177154541016
actual_bound_p99,78.30665588378906
analytic_bound_p50,59.33580017089844
analytic_bound_p90,75.63337707519531
analytic_bound_p99,145.33670043945312
margin_p10,0.2702621519565582
margin_p50,2.5184478759765625
margin_p90,14.010008811950684
ratio_error_to_margin_p50,0.6195842027664185
ratio_error_to_margin_p90,9.4103364944458
ratio_error_to_margin_p99,20663752.0
ratio_actual_inflation_p50,17.145381927490234
ratio_actual_inflation_p90,94.19480895996094
ratio_actual_inflation_p99,940.4935913085938
ratio_analytic_inflation_p50,31.898941040039062
ratio_analytic_inflation_p90,173.9447784423828
ratio_analytic_inflation_p99,1726.272216796875
ratio_margin_to_actual_p50,0.07805287837982178
ratio_margin_to_actual_p90,0.8995955586433411
ratio_margin_to_actual_p99,2.0705292224884033
ratio_margin_to_analytic_p50,0.041673533618450165
ratio_margin_to_analytic_p90,0.4877820312976837
ratio_margin_to_analytic_p99,1.1080358028411865
