layer_index,decision,selected_strategy,tile_sparsity,kept_tile_fraction,score_work_fraction_proxy,attention_tile_work_fraction
0,FP16 fallback,none,0.4921875,0.5078125,1.0,0.5078125
1,Conditional Go,k_only_per_group_g16,0.931884765625,0.068115234375,0.33605769230769234,0.068115234375
8,Go,k_only_per_group_g4,0.931884765625,0.068115234375,0.10003434065934066,0.068115234375
12,Go,k_only_per_group_g16,0.931884765625,0.068115234375,0.06809752747252747,0.068115234375
13,Go,k_only_per_group_g16,0.931884765625,0.068115234375,0.06304945054945055,0.068115234375
22,Go,k_only_per_group_g16,0.931884765625,0.068115234375,0.07458791208791209,0.068115234375
23,Go,k_only_per_group_g16,0.931884765625,0.068115234375,0.0771978021978022,0.068115234375
