layer_index,target_sparsity,actual_tile_sparsity,token_mask_sparsity,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,kept_attention_mass_p99,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_l1_p90,prob_kl_mean,prob_kl_p90
0,0.85,-6.109375,0.4921875,0.5137559175491333,0.9999998211860657,1.0,1.0000001192092896,0.4862441420555115,0.4803387224674225,1.0,0.5260725617408752,0.0,0.5037382245063782,1.0000001192092896,12.119828224182129,26.605670928955078
1,0.85,0.04638671875,0.931884765625,0.06847114861011505,0.0,0.017408862709999084,1.0,0.9315288662910461,0.9144150018692017,1.0,0.09967273473739624,0.0,0.9764784574508667,1.0000001192092896,22.418405532836914,26.273845672607422
8,0.85,0.04638671875,0.931884765625,0.06795430183410645,0.0,0.07498732209205627,1.0,0.9320457577705383,0.9459909200668335,1.0,0.08220662921667099,0.0,0.9964853525161743,1.0000001192092896,23.720796585083008,27.17477035522461
12,0.85,0.04638671875,0.931884765625,0.07238106429576874,0.0,0.15016159415245056,1.0,0.9276189804077148,0.9372216463088989,1.0,0.094314806163311,0.0,0.9721463322639465,1.0000001192092896,22.74502944946289,26.064760208129883
13,0.85,0.04638671875,0.931884765625,0.06875540316104889,0.0,0.2309982180595398,0.9999999403953552,0.9312445521354675,0.9307264685630798,1.0,0.12442906945943832,0.0,1.0113452672958374,1.000000238418579,23.226797103881836,26.611690521240234
22,0.85,0.04638671875,0.931884765625,0.06546277552843094,0.0,0.2110816240310669,1.0,0.9345372319221497,0.9238045811653137,1.0,0.12935331463813782,0.0,1.0216971635818481,1.000000238418579,21.906024932861328,24.685325622558594
23,0.85,0.04638671875,0.931884765625,0.0686114951968193,0.0,0.21571196615695953,1.0,0.9313884377479553,0.9118403196334839,1.0,0.12818540632724762,0.0,1.0148417949676514,1.000000238418579,22.352495193481445,26.851165771484375
