mask_type,mean_kept_mass,mean_cosine,mean_l2_rel
mean_pooled_score,0.3683013568321864,0.6893691122531891,0.785550445318222
oracle_block_mass,0.6544430951277415,0.9160823325316111,0.4080626964569092
local_window,0.5337705115477244,0.8505891660849253,0.5571404993534088
random,0.15167534599701563,0.49793176849683124,0.9598745306332906
