layer,block_size,target_sparsity,mask_type,actual_tile_sparsity,token_mask_sparsity,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,kept_attention_mass_p99,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_l1_p90,prob_kl_mean,prob_kl_p90
12,8,0.0,dense,0.0,0.4990234375,1.0,1.0,1.0000001192092896,1.000000238418579,1.0976302089460432e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.0,0.0
12,8,0.5,mean_pooled_score,0.523076923076923,0.7641754150390625,0.7849374413490295,0.861788272857666,0.9987633228302002,0.9999154210090637,0.21506254374980927,0.33013489842414856,1.0,0.9445552825927734,0.9119397401809692,0.39887502789497375,1.0,5.222493648529053,13.674764633178711
12,8,0.5,oracle_block_mass,0.49230769230769234,0.7481460571289062,0.9385918974876404,0.9671293497085571,0.9995883703231812,1.0,0.06140805035829544,0.07691673189401627,0.20845700800418854,0.9900515675544739,0.981313169002533,0.12281610071659088,0.3124597370624542,1.2997896671295166,3.2934629917144775
12,8,0.5,local_window,0.25384615384615383,0.6279296875,0.8768028616905212,0.99824458360672,1.0000001192092896,1.0000001192092896,0.12319722026586533,0.20381011068820953,0.6839811205863953,0.9939631223678589,0.9865131378173828,0.24639444053173065,0.8453647494316101,3.0592033863067627,10.623346328735352
12,8,0.5,random,0.501304945054945,0.750136239188058,0.4927947521209717,0.4937940537929535,0.8891565799713135,0.9999955892562866,0.5072052478790283,0.5837322473526001,1.1022357940673828,0.8291716575622559,0.4599026143550873,0.9976693987846375,1.7612929344177246,12.297453880310059,22.843992233276367
12,8,0.6,mean_pooled_score,0.6182692307692308,0.8123855590820312,0.7298807501792908,0.7915515899658203,0.9972729682922363,0.999855101108551,0.27011924982070923,0.415101557970047,1.0066556930541992,0.9375724196434021,0.8783321380615234,0.5089884996414185,1.1306078433990479,6.538419246673584,15.654020309448242
12,8,0.6,oracle_block_mass,0.5875,0.7961807250976562,0.9139957427978516,0.9477376937866211,0.9992910623550415,1.0,0.08600421994924545,0.1015835627913475,0.2794207036495209,0.9858788251876831,0.9653302431106567,0.1720084249973297,0.4249292314052582,1.824888825416565,4.531825065612793
12,8,0.6,local_window,0.375,0.689453125,0.8437235951423645,0.9253069162368774,1.0,1.0000001192092896,0.15627647936344147,0.25479793548583984,0.7976494431495667,0.9925606846809387,0.981338381767273,0.3125529885292053,0.9629806876182556,3.8484675884246826,12.02193832397461
12,8,0.6,random,0.5984546703296703,0.7987758091517857,0.39342498779296875,0.34639692306518555,0.7986218333244324,0.999418318271637,0.6065750122070312,0.7031153440475464,1.2202483415603638,0.7768369317054749,0.31006333231925964,1.188596487045288,1.8685232400894165,14.757832527160645,24.43453025817871
12,8,0.7,mean_pooled_score,0.7168269230769231,0.8621063232421875,0.659460186958313,0.7074585556983948,0.9871084094047546,0.9997069835662842,0.3405398428440094,0.5043906569480896,1.1417553424835205,0.9169115424156189,0.8197024464607239,0.6342045664787292,1.2757329940795898,8.21716594696045,18.030729293823242
12,8,0.7,oracle_block_mass,0.6855769230769231,0.845611572265625,0.8747428059577942,0.9117256999015808,0.9987422823905945,1.0,0.125257208943367,0.14445030689239502,0.3789176046848297,0.9754776954650879,0.9375188946723938,0.2505144476890564,0.588336706161499,2.6823272705078125,6.345188140869141
12,8,0.7,local_window,0.49759615384615385,0.751708984375,0.8070106506347656,0.8828082084655762,1.0,1.0000001192092896,0.19298933446407318,0.30619797110557556,0.881474494934082,0.9907146692276001,0.9763453602790833,0.38597866892814636,1.077985405921936,4.708092212677002,13.395258903503418
12,8,0.7,random,0.6964972527472528,0.847823006766183,0.2890686094760895,0.21790096163749695,0.673927366733551,0.9974339008331299,0.7109313607215881,0.8425553441047668,1.3824145793914795,0.6979213356971741,0.11877138912677765,1.3850324153900146,1.9506686925888062,17.370229721069336,25.41752815246582
12,8,0.8,mean_pooled_score,0.8182692307692307,0.9131622314453125,0.5560039281845093,0.5733033418655396,0.9537632465362549,0.9994415044784546,0.4439961016178131,0.6480989456176758,1.3637484312057495,0.8755879998207092,0.6427227854728699,0.8098670244216919,1.4829356670379639,10.69871997833252,22.35806655883789
12,8,0.8,oracle_block_mass,0.7875,0.8969650268554688,0.8051477074623108,0.8376637697219849,0.9973210692405701,1.0,0.19485223293304443,0.21936854720115662,0.5447001457214355,0.9537016749382019,0.8697564601898193,0.38970446586608887,0.8360369801521301,4.243576526641846,9.189314842224121
12,8,0.8,local_window,0.6625,0.83544921875,0.7254425287246704,0.7904825210571289,1.0,1.0000001192092896,0.2745574116706848,0.41426244378089905,1.075742483139038,0.9815120100975037,0.9505801796913147,0.5491148233413696,1.339393973350525,6.606021881103516,16.42179298400879
12,8,0.8,random,0.7989354395604396,0.8992549351283482,0.19963273406028748,0.11889389157295227,0.5392172932624817,0.9771358370780945,0.8003672361373901,0.9693679809570312,1.5309422016143799,0.6085898280143738,0.0,1.5371185541152954,1.9870569705963135,19.60092544555664,25.75535774230957
12,8,0.85,mean_pooled_score,0.8658653846153846,0.93695068359375,0.4961428642272949,0.4835083484649658,0.9391900300979614,0.9991269707679749,0.5038570761680603,0.7338784337043762,1.4829466342926025,0.849107563495636,0.38691702485084534,0.9139642119407654,1.5949031114578247,12.132880210876465,24.31405258178711
12,8,0.85,oracle_block_mass,0.8350961538461539,0.92083740234375,0.7580941319465637,0.778901219367981,0.9960740208625793,1.0,0.24190585315227509,0.27220243215560913,0.627790093421936,0.9393122792243958,0.8263445496559143,0.48381170630455017,0.9842026233673096,5.31636381149292,11.039695739746094
12,8,0.85,local_window,0.7403846153846154,0.875,0.6762019991874695,0.7301369905471802,0.9999999403953552,1.0000001192092896,0.32379791140556335,0.49033617973327637,1.2022298574447632,0.9737955927848816,0.9297928810119629,0.6475958228111267,1.4773776531219482,7.747141361236572,18.027795791625977
12,8,0.85,random,0.8489697802197802,0.9243730817522321,0.15359091758728027,0.07417534291744232,0.44303494691848755,0.9658794403076172,0.8464091420173645,1.0521427392959595,1.6390050649642944,0.5545570254325867,0.0,1.605764627456665,1.9940744638442993,20.76787757873535,25.88829231262207
12,8,0.9,mean_pooled_score,0.9163461538461538,0.961761474609375,0.39533740282058716,0.3308113217353821,0.9000689387321472,0.9979146718978882,0.6046625375747681,0.8466377258300781,1.6132981777191162,0.7760812044143677,0.0,1.0530751943588257,1.7118823528289795,14.598289489746094,25.130455017089844
12,8,0.9,oracle_block_mass,0.885576923076923,0.9458999633789062,0.6801118850708008,0.6831245422363281,0.9923733472824097,1.0,0.31988808512687683,0.37690940499305725,0.8206686973571777,0.9020962715148926,0.7155480980873108,0.6397761702537537,1.2036477327346802,7.13687801361084,13.742764472961426
12,8,0.9,local_window,0.8225961538461538,0.916748046875,0.607293963432312,0.6320756673812866,0.9843018651008606,1.0000001192092896,0.3927059769630432,0.5926230549812317,1.3636380434036255,0.9605178833007812,0.893570601940155,0.7854120135307312,1.6430646181106567,9.349452018737793,19.744888305664062
12,8,0.9,random,0.8995879120879121,0.9497037615094867,0.0981634110212326,0.0320897176861763,0.27578917145729065,0.9103215932846069,0.9018365740776062,1.158537745475769,1.7779141664505005,0.4734169840812683,0.0,1.6719768047332764,1.9982510805130005,22.194692611694336,26.02662467956543
12,16,0.0,dense,0.0,0.4990234375,1.0,1.0,1.0000001192092896,1.000000238418579,1.0976302089460432e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.0,0.0
12,16,0.5,mean_pooled_score,0.5454545454545454,0.7787039620535714,0.6966168284416199,0.7645955085754395,0.995994508266449,0.999832034111023,0.3033831715583801,0.46032199263572693,1.0341315269470215,0.9107884168624878,0.8202729821205139,0.5442663431167603,1.1319845914840698,7.441166877746582,18.049680709838867
12,16,0.5,oracle_block_mass,0.48484848484848486,0.7465711321149553,0.9250926375389099,0.9589596390724182,0.9994905591011047,1.0,0.07490731030702591,0.09165766090154648,0.24149882793426514,0.9873741865158081,0.9766491651535034,0.14981462061405182,0.3988468050956726,1.5988060235977173,4.304162502288818
12,16,0.5,local_window,0.25757575757575757,0.6318359375,0.875828206539154,0.99824458360672,1.0000001192092896,1.0000001192092896,0.12417177855968475,0.20481352508068085,0.6855531334877014,0.993928074836731,0.9861361384391785,0.2483435571193695,0.8521543741226196,3.0799710750579834,10.702648162841797
