layer,target_sparsity,mask_type,sample_pattern,aggregation,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,strict_quality_pass,practical_quality_pass,strong_quality_pass,oracle_gap_mass,oracle_gap_l2,improvement_over_mean_pooled_mass,improvement_over_mean_pooled_l2
0,0.3,dense,none,none,0.0,1.0,1.0,1.0,1.0000001192092896,2.918698394083208e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.49951171875,False,False,False,-0.03279167413711548,-0.014570490457117558,1.0,0.0
0,0.3,mean_pooled_score,none,none,0.31682692307692306,0.6831730769230769,0.9208851456642151,0.9962047338485718,1.0,0.0791148766875267,0.04830830544233322,0.09687379747629166,0.9799542427062988,0.9955065250396729,0.1426047831773758,1.8059545755386353,0.6600488935198103,False,False,False,0.046323180198669434,0.033737814985215664,0.9208851456642151,-0.04830830544233322
0,0.3,oracle_block_mass,none,none,0.2860576923076923,0.7139423076923077,0.9672083258628845,0.9990036487579346,1.0,0.03279164060950279,0.014570490457117558,0.0517912358045578,0.9994227290153503,0.9987890124320984,0.06558327376842499,0.6742607951164246,0.6440396990094865,False,False,False,0.03279167413711548,0.014570490457117558,0.9672083258628845,-0.014570490457117558
0,0.3,aglr_antidiagonal_logsumexp,both_diagonals,logsumexp,0.2860576923076923,0.7139423076923077,0.9331633448600769,0.9968105554580688,1.0,0.06683658063411713,0.03618406504392624,0.11343958228826523,0.9956793189048767,0.9938425421714783,0.13367317616939545,1.4720379114151,0.644775390625,False,False,False,0.03404498100280762,0.02161357458680868,0.012278199195861816,0.012124240398406982
0,0.3,aglr_antidiagonal_topk_mean,both_diagonals,topk_mean,0.2860576923076923,0.7139423076923077,0.9450123906135559,0.9978711605072021,1.0,0.05498757213354111,0.028484763577580452,0.09659093618392944,0.9972327947616577,0.9955515265464783,0.10997514426708221,1.1886060237884521,0.644775390625,False,False,False,0.022195935249328613,0.013914273120462894,0.02412724494934082,0.01982354186475277
0,0.4,dense,none,none,0.0,1.0,1.0,1.0,1.0000001192092896,2.918698394083208e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.49951171875,False,False,False,-0.05298572778701782,-0.022661704570055008,1.0,0.0
0,0.4,mean_pooled_score,none,none,0.4182692307692307,0.5817307692307693,0.8885927200317383,0.9914329051971436,0.9999999403953552,0.11140727996826172,0.06564660370349884,0.1412450224161148,0.9755741357803345,0.9906772375106812,0.20718954503536224,2.5395188331604004,0.711407252720424,False,False,False,0.058421552181243896,0.04298489913344383,0.8885927200317383,-0.06564660370349884
0,0.4,oracle_block_mass,none,none,0.38605769230769227,0.6139423076923077,0.9470142722129822,0.9974081516265869,1.0,0.05298570170998573,0.022661704570055008,0.08133713901042938,0.9987280964851379,0.9969984292984009,0.10597140341997147,1.101521372795105,0.694436754499163,False,False,False,0.05298572778701782,0.022661704570055008,0.9470142722129822,-0.022661704570055008
0,0.4,aglr_antidiagonal_logsumexp,both_diagonals,logsumexp,0.38605769230769227,0.6139423076923077,0.8978184461593628,0.9906030893325806,0.9999999403953552,0.10218168050050735,0.054308030754327774,0.158915713429451,0.9915558099746704,0.9882450103759766,0.2043633610010147,2.2817933559417725,0.695556640625,False,False,False,0.049195826053619385,0.031646326184272766,0.009225726127624512,0.011338572949171066
0,0.4,aglr_antidiagonal_topk_mean,both_diagonals,topk_mean,0.38605769230769227,0.6139423076923077,0.910568356513977,0.9934120178222656,1.0,0.08943164348602295,0.04631199687719345,0.1440560221672058,0.9933446049690247,0.9900863170623779,0.1788632869720459,1.9776283502578735,0.695556640625,False,False,False,0.03644591569900513,0.023650292307138443,0.02197563648223877,0.01933460682630539
0,0.5,dense,none,none,0.0,1.0,1.0,1.0,1.0000001192092896,2.918698394083208e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.49951171875,False,False,False,-0.08247929811477661,-0.03550710901618004,1.0,0.0
0,0.5,mean_pooled_score,none,none,0.523076923076923,0.47692307692307695,0.8403719067573547,0.9802803993225098,0.9999998807907104,0.15962812304496765,0.09607865661382675,0.2057555913925171,0.957004189491272,0.9797921776771545,0.2880062460899353,3.6684768199920654,0.7642947605678013,False,False,False,0.07714879512786865,0.06057154759764671,0.8403719067573547,-0.09607865661382675
0,0.5,oracle_block_mass,none,none,0.49230769230769234,0.5076923076923077,0.9175207018852234,0.993603527545929,1.0,0.0824793130159378,0.03550710901618004,0.12692789733409882,0.9969075322151184,0.9926689863204956,0.1649586260318756,1.740753412246704,0.7477705819266183,False,True,False,0.08247929811477661,0.03550710901618004,0.9175207018852234,-0.03550710901618004
0,0.5,aglr_antidiagonal_logsumexp,both_diagonals,logsumexp,0.4918269230769231,0.5081730769230769,0.8555672764778137,0.9773552417755127,0.9999999403953552,0.1444326937198639,0.07591556757688522,0.22072556614875793,0.9861265420913696,0.977112352848053,0.2888653874397278,3.261323928833008,0.749267578125,False,False,False,0.06195342540740967,0.040408458560705185,0.015195369720458984,0.02016308903694153
0,0.5,aglr_antidiagonal_topk_mean,both_diagonals,topk_mean,0.4918269230769231,0.5081730769230769,0.8718318343162537,0.9836328029632568,0.9999999403953552,0.12816815078258514,0.06524097919464111,0.19766202569007874,0.9891737103462219,0.9813722968101501,0.2563363015651703,2.8563876152038574,0.749267578125,False,False,False,0.04568886756896973,0.029733870178461075,0.031459927558898926,0.03083767741918564
0,0.6,dense,none,none,0.0,1.0,1.0,1.0,1.0000001192092896,2.918698394083208e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.49951171875,False,False,False,-0.10928434133529663,-0.045618053525686264,1.0,0.0
0,0.6,mean_pooled_score,none,none,0.6182692307692308,0.3817307692307692,0.8010231256484985,0.9588611125946045,0.9999995827674866,0.19897687435150146,0.11921278387308121,0.2705312967300415,0.9515169262886047,0.9663256406784058,0.36670371890068054,4.561155796051025,0.8122667585100447,False,False,False,0.08969253301620483,0.07359473034739494,0.8010231256484985,-0.11921278387308121
0,0.6,oracle_block_mass,none,none,0.5875,0.4125,0.8907156586647034,0.987779974937439,0.9999999403953552,0.10928431898355484,0.045618053525686264,0.1575731337070465,0.9955825805664062,0.9889515042304993,0.21856863796710968,2.3157522678375244,0.7956199645996094,False,False,False,0.10928434133529663,0.045618053525686264,0.8907156586647034,-0.045618053525686264
0,0.6,aglr_antidiagonal_logsumexp,both_diagonals,logsumexp,0.5870192307692308,0.4129807692307692,0.815377414226532,0.9561293721199036,0.9999998211860657,0.18462252616882324,0.09959723800420761,0.28369009494781494,0.9800829887390137,0.9624322056770325,0.3692450523376465,4.186722755432129,0.797607421875,False,False,False,0.07533824443817139,0.05397918447852135,0.014354288578033447,0.019615545868873596
0,0.6,aglr_antidiagonal_topk_mean,both_diagonals,topk_mean,0.5870192307692308,0.4129807692307692,0.8285543322563171,0.9663012027740479,0.9999998807907104,0.17144565284252167,0.09118968993425369,0.26170819997787476,0.9823487997055054,0.9674109220504761,0.3428913652896881,3.8617379665374756,0.797607421875,False,False,False,0.06216132640838623,0.04557163640856743,0.027531206607818604,0.028023093938827515
1,0.3,dense,none,none,0.0,1.0,1.0,1.0,1.0000001192092896,4.145217058493245e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.49951171875,False,False,False,-0.049846529960632324,-0.026527689769864082,1.0,0.0
1,0.3,mean_pooled_score,none,none,0.31682692307692306,0.6831730769230769,0.9056810736656189,0.948845386505127,0.9998603463172913,0.0943189188838005,0.06079641729593277,0.11935333907604218,0.9812526106834412,0.9954589605331421,0.17301282286643982,2.082439422607422,0.6602042061941964,False,False,False,0.04447239637374878,0.03426872752606869,0.9056810736656189,-0.06079641729593277
1,0.3,oracle_block_mass,none,none,0.2860576923076923,0.7139423076923077,0.9501534700393677,0.9701939821243286,0.9999777674674988,0.049846481531858444,0.026527689769864082,0.0682820975780487,0.9988952279090881,0.9983282089233398,0.09969296306371689,1.023026704788208,0.6446282523018974,False,False,False,0.049846529960632324,0.026527689769864082,0.9501534700393677,-0.026527689769864082
1,0.3,aglr_antidiagonal_logsumexp,both_diagonals,logsumexp,0.2860576923076923,0.7139423076923077,0.9336621165275574,0.9610869884490967,0.9999470710754395,0.06633789837360382,0.03535604104399681,0.08998557925224304,0.9983912110328674,0.9970996379852295,0.13267579674720764,1.3868225812911987,0.644775390625,False,False,False,0.016491353511810303,0.008828351274132729,0.027981042861938477,0.02544037625193596
1,0.3,aglr_antidiagonal_topk_mean,both_diagonals,topk_mean,0.2860576923076923,0.7139423076923077,0.9357471466064453,0.9622910022735596,0.9999645948410034,0.0642528310418129,0.03504442796111107,0.0925215408205986,0.9983352422714233,0.9969017505645752,0.1285056620836258,1.3412100076675415,0.644775390625,False,False,False,0.014406323432922363,0.008516738191246986,0.030066072940826416,0.0257519893348217
1,0.4,dense,none,none,0.0,1.0,1.0,1.0,1.0000001192092896,4.145217058493245e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.49951171875,False,False,False,-0.07847493886947632,-0.04028952494263649,1.0,0.0
1,0.4,mean_pooled_score,none,none,0.41830357142857144,0.5816964285714286,0.8710477948188782,0.9206259250640869,0.9996486902236938,0.12895222008228302,0.08234047889709473,0.1702151894569397,0.9784688949584961,0.9917969703674316,0.24227945506572723,2.8293375968933105,0.7116944449288505,False,False,False,0.05047726631164551,0.04205095395445824,0.8710477948188782,-0.08234047889709473
1,0.4,oracle_block_mass,none,none,0.38605769230769227,0.6139423076923077,0.9215250611305237,0.9467817544937134,0.9999018907546997,0.07847490161657333,0.04028952494263649,0.10254828631877899,0.9978501200675964,0.9965969920158386,0.15694980323314667,1.6259173154830933,0.695352281842913,False,False,False,0.07847493886947632,0.04028952494263649,0.9215250611305237,-0.04028952494263649
1,0.4,aglr_antidiagonal_logsumexp,both_diagonals,logsumexp,0.38605769230769227,0.6139423076923077,0.8981298804283142,0.9328749179840088,0.9997409582138062,0.10187017917633057,0.05399509519338608,0.13958966732025146,0.9966006278991699,0.9940224289894104,0.20374035835266113,2.148573398590088,0.695556640625,False,False,False,0.023395180702209473,0.013705570250749588,0.027082085609436035,0.02834538370370865
1,0.4,aglr_antidiagonal_topk_mean,both_diagonals,topk_mean,0.38605769230769227,0.6139423076923077,0.9022494554519653,0.9349228143692017,0.9998337030410767,0.09775049239397049,0.05282614380121231,0.13848000764846802,0.9965044856071472,0.9939737319946289,0.19550098478794098,2.0580315589904785,0.695556640625,False,False,False,0.01927560567855835,0.012536618858575821,0.031201660633087158,0.029514335095882416
1,0.5,dense,none,none,0.0,1.0,1.0,1.0,1.0000001192092896,4.145217058493245e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.49951171875,False,False,False,-0.11779987812042236,-0.06212688237428665,1.0,0.0
1,0.5,mean_pooled_score,none,none,0.523076923076923,0.47692307692307695,0.8204624056816101,0.884400486946106,0.9992049932479858,0.1795375645160675,0.11936286836862564,0.2632239758968353,0.9608038663864136,0.9830155968666077,0.327825129032135,3.9689974784851074,0.7648179190499442,False,False,False,0.06173771619796753,0.05723598599433899,0.8204624056816101,-0.11936286836862564
