mask_type,mean_kept_mass,mean_cosine,mean_l2_rel
mean_pooled_score,0.06379697285592556,0.08795130501190822,0.9410845438639323
oracle_block_mass,0.10860066985090573,0.13661697506904602,0.90263299147288
local_window,0.12730461110671362,0.13833320637543997,0.877482016881307
random,0.07926247641444206,0.12712452684839567,0.9326871931552887
