layer,block_size,target_sparsity,mask_type,actual_tile_sparsity,token_mask_sparsity,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,kept_attention_mass_p99,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_l1_p90,prob_kl_mean,prob_kl_p90
12,8,0.0,dense,0.0,0.4921875,0.5264962911605835,0.9999998211860657,1.0000001192092896,1.0000001192092896,0.4735037386417389,0.48438405990600586,1.0,0.5281084179878235,0.0,0.509507417678833,1.0000001192092896,11.799019813537598,25.747268676757812
12,8,0.5,mean_pooled_score,0.523076923076923,0.7578125,0.26628923416137695,0.0,0.9999998807907104,1.0000001192092896,0.7337107062339783,0.7824360728263855,1.0,0.30660364031791687,0.0,0.9084092378616333,1.5994421243667603,18.105756759643555,25.9527587890625
12,8,0.5,oracle_block_mass,0.49230769230769234,0.7421875,0.29618361592292786,0.0014323117211461067,0.9999999403953552,1.0000001192092896,0.7038164138793945,0.7621660828590393,1.0166757106781006,0.3372926115989685,0.0,0.9126550555229187,1.688446044921875,17.322010040283203,25.897911071777344
12,8,0.5,local_window,0.25384615384615383,0.62109375,0.39877986907958984,0.0,1.0,1.0000001192092896,0.6012201309204102,0.6194767355918884,1.0,0.4138953983783722,0.0,0.6516590118408203,1.0000001192092896,14.90911865234375,25.853939056396484
12,8,0.5,random,0.501304945054945,0.7467564174107143,0.26095637679100037,0.0022572726011276245,0.9063525199890137,1.0,0.7390435934066772,0.7986980080604553,1.0284110307693481,0.3822839558124542,0.0,0.9963628649711609,1.7866324186325073,18.245561599731445,25.9527587890625
12,8,0.6,mean_pooled_score,0.6182692307692308,0.80615234375,0.21370865404605865,0.0,0.9734517931938171,1.0000001192092896,0.7862913012504578,0.8310157060623169,1.0,0.2517741024494171,0.0,0.9439554214477539,1.5454704761505127,19.413118362426758,26.009387969970703
12,8,0.6,oracle_block_mass,0.5875,0.79052734375,0.24692775309085846,0.0,0.9913599491119385,1.0000001192092896,0.753072202205658,0.8091370463371277,1.0166219472885132,0.287294864654541,0.0,0.9602460265159607,1.7073664665222168,18.536457061767578,25.9527587890625
12,8,0.6,local_window,0.375,0.6826171875,0.3346938490867615,0.0,1.0,1.0000001192092896,0.6653061509132385,0.6857487559318542,1.0,0.3513072431087494,0.0,0.717331051826477,1.0000001192092896,16.478931427001953,25.90386199951172
12,8,0.6,random,0.5984546703296703,0.7960902622767857,0.208435520529747,0.0,0.8063375949859619,1.0,0.7915644645690918,0.8562765121459961,1.0707273483276367,0.34229159355163574,0.0,1.0753164291381836,1.856227993965149,19.53536033630371,26.006290435791016
12,8,0.7,mean_pooled_score,0.7168269230769231,0.856201171875,0.15940213203430176,0.0,0.8010371327400208,1.0,0.8405978083610535,0.8804994225502014,1.0,0.19475685060024261,0.0,0.9784892201423645,1.4062278270721436,20.7580623626709,26.072399139404297
