layer,block_size,target_sparsity,mask_type,sample_pattern,aggregation,local_blocks,hybrid_weights,local_budget_overflow_rate,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,quality_pass,strong_quality_pass,oracle_gap_mass,oracle_gap_l2
12,16,0.4,dense,none,none,0,none,0.0,0.0,1.0,1.0,1.0,1.0000001192092896,1.0976302089460432e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.4990234375,False,False,-0.04192465543746948,-0.051240600645542145
12,16,0.4,random,none,none,0,none,0.0,0.40354437229437234,0.5964556277056277,0.5843032002449036,0.6301215887069702,0.9762095212936401,0.4156968593597412,0.5032879710197449,1.0528186559677124,0.8339075446128845,0.39754319190979004,0.8113044500350952,10.10874080657959,0.7011173793247768,False,False,0.37377214431762695,0.45204737037420273
12,16,0.4,mean_pooled_score,none,none,0,none,0.0,0.43560606060606055,0.5643939393939394,0.7657186388969421,0.8401092290878296,0.9987602829933167,0.23428140580654144,0.3785403072834015,1.0,0.9437705874443054,0.9045584797859192,0.4373128116130829,5.761544704437256,0.72271728515625,False,False,0.19235670566558838,0.32729970663785934
12,16,0.4,oracle_block_mass,none,none,0,none,0.0,0.37310606060606055,0.6268939393939394,0.9580753445625305,0.9796634912490845,0.9998530149459839,0.04192473366856575,0.051240600645542145,0.15050186216831207,0.996094286441803,0.9910106658935547,0.0838494673371315,0.8735275268554688,0.6899675641741072,False,False,0.04192465543746948,0.051240600645542145
12,16,0.4,landmark_only,none,none,0,none,0.0,0.37310606060606055,0.6268939393939394,0.8624839186668396,0.9348713159561157,0.9996948838233948,0.1375160962343216,0.22956235706806183,0.681850790977478,0.9884189367294312,0.9754281044006348,0.2750321924686432,3.3308908939361572,0.6913408551897322,False,False,0.09559142589569092,0.17832175642251968
12,16,0.4,antidiagonal_only,anti_diagonal,topk_mean,0,none,0.0,0.37310606060606055,0.6268939393939394,0.9348961710929871,0.9733182787895203,0.9998216032981873,0.06510389596223831,0.09006118029356003,0.22210228443145752,0.9948058128356934,0.9868208169937134,0.13020780682563782,1.458405613899231,0.6911119733537947,False,False,0.023179173469543457,0.03882057964801788
12,16,0.4,antidiagonal_only,anti_diagonal,logsumexp,0,none,0.0,0.37310606060606055,0.6268939393939394,0.9533500671386719,0.9774637818336487,0.9998050928115845,0.046649932861328125,0.05812392011284828,0.17338038980960846,0.9953764081001282,0.9889642596244812,0.09329986572265625,0.9810046553611755,0.6911446707589286,False,False,0.004725277423858643,0.006883319467306137
12,16,0.4,antidiagonal_only,both_diagonals,topk_mean,0,none,0.0,0.37310606060606055,0.6268939393939394,0.9540439248085022,0.9780510663986206,0.9998235702514648,0.04595603793859482,0.05732753500342369,0.17165222764015198,0.9954069256782532,0.9889668226242065,0.09191207587718964,0.9637231230735779,0.6912427629743303,False,False,0.00403141975402832,0.006086934357881546
12,16,0.4,antidiagonal_only,both_diagonals,logsumexp,0,none,0.0,0.37310606060606055,0.6268939393939394,0.9546981453895569,0.9780563116073608,0.9998151063919067,0.045301806181669235,0.05580010265111923,0.16497239470481873,0.9956477284431458,0.9895970821380615,0.09060361236333847,0.9491419792175293,0.6913735525948661,False,False,0.003377199172973633,0.004559502005577087
12,16,0.4,hybrid,anti_diagonal,topk_mean,2,L0.70_A0.30,0.09375,0.37310606060606055,0.6268939393939394,0.8744043707847595,0.9541606307029724,0.9997515082359314,0.12559561431407928,0.20673587918281555,0.6405359506607056,0.9875398278236389,0.9791674613952637,0.25119122862815857,3.024585247039795,0.69140625,False,False,0.083670973777771,0.1554952785372734
