layer,aglr_decision,certimask_supported,aggregation,target_sparsity,attention_work_fraction,kept_mass,cosine,l2,certimask_exact_match,certimask_mismatch_count,certimask_fallback_rate,indexer_fp_fallback_fraction,runtime_path
0,conditional_relaxed,True,logsumexp,0.5,0.5038759689922481,0.8827803730964661,0.9910002946853638,0.06168759614229202,True,0,0.7453367248062015,0.7453367248062015,aglr_certimask_lowbit_high_fallback
1,conditional_relaxed,True,logsumexp,0.5,0.5038759689922481,0.8645952939987183,0.9933867454528809,0.0756295844912529,True,0,0.4228959025470653,0.4228959025470653,aglr_certimask_lowbit_high_fallback
2,go_practical,False,topk_mean,0.5,0.5039970930232558,0.9038046002388,0.990699291229248,0.10396640002727509,True,0,1.0,1.0,unsupported_aggregation_fp_reference
3,go_strict,True,logsumexp,0.75,0.2558139534883721,0.9031709432601929,0.9714940786361694,0.16488774120807648,True,0,0.09022009966777408,0.09022009966777408,aglr_certimask_lowbit
4,go_practical,True,logsumexp,0.5,0.5038759689922481,0.9069440364837646,0.9887160062789917,0.09060822427272797,True,0,0.16838835825027684,0.16838835825027684,aglr_certimask_lowbit
5,go_practical,True,logsumexp,0.5,0.5038759689922481,0.9113957285881042,0.9884053468704224,0.1120496615767479,True,0,0.17277477851605758,0.17277477851605758,aglr_certimask_lowbit
6,go_practical,True,logsumexp,0.5,0.5038759689922481,0.9180209040641785,0.9866564273834229,0.10248352587223053,True,0,0.14220826411960133,0.14220826411960133,aglr_certimask_lowbit
7,go_strict,True,logsumexp,0.75,0.2558139534883721,0.9485317468643188,0.9807818531990051,0.08468137681484222,True,0,0.0692483388704319,0.0692483388704319,aglr_certimask_lowbit
8,go_strict,True,logsumexp,0.75,0.2558139534883721,0.9032596349716187,0.9813488721847534,0.09436188638210297,True,0,0.21503841362126247,0.21503841362126247,aglr_certimask_lowbit
9,go_strict,True,logsumexp,0.75,0.2558139534883721,0.9106422662734985,0.9732986688613892,0.12167631089687347,True,0,0.09315303156146179,0.09315303156146179,aglr_certimask_lowbit
10,go_practical,True,logsumexp,0.5,0.5038759689922481,0.9254233241081238,0.9916620850563049,0.08291970193386078,True,0,0.15653550664451826,0.15653550664451826,aglr_certimask_lowbit
11,go_strict,True,logsumexp,0.7,0.3074127906976744,0.9177213907241821,0.9838354587554932,0.1192019134759903,True,0,0.09353370708748615,0.09353370708748615,aglr_certimask_lowbit
12,go_strict,True,logsumexp,0.65,0.35743701550387597,0.9134626984596252,0.9900107383728027,0.08670450001955032,True,0,0.09184662236987819,0.09184662236987819,aglr_certimask_lowbit
13,go_strict,True,logsumexp,0.75,0.2558139534883721,0.9118183851242065,0.9824736714363098,0.10306212306022644,True,0,0.08178467607973422,0.08178467607973422,aglr_certimask_lowbit
14,go_strict,True,logsumexp,0.7,0.3074127906976744,0.90349280834198,0.9872484803199768,0.11391756683588028,True,0,0.10209025470653378,0.10209025470653378,aglr_certimask_lowbit
15,go_strict,True,logsumexp,0.7,0.3074127906976744,0.9132686853408813,0.9852111339569092,0.10475131124258041,True,0,0.09166493632336656,0.09166493632336656,aglr_certimask_lowbit
16,go_strict,True,logsumexp,0.75,0.2558139534883721,0.9761040210723877,0.9820883870124817,0.07706525176763535,True,0,0.07700027685492802,0.07700027685492802,aglr_certimask_lowbit
17,go_strict,True,logsumexp,0.7,0.3074127906976744,0.917232096195221,0.9850073456764221,0.1027602031826973,True,0,0.11566479789590255,0.11566479789590255,aglr_certimask_lowbit
18,go_strict,True,logsumexp,0.75,0.2558139534883721,0.9084988832473755,0.9634601473808289,0.19615603983402252,True,0,0.0922359496124031,0.0922359496124031,aglr_certimask_lowbit
19,go_strict,True,logsumexp,0.75,0.2558139534883721,0.9245670437812805,0.9850088357925415,0.10032565146684647,True,0,0.08653446843853821,0.08653446843853821,aglr_certimask_lowbit
20,go_strict,True,logsumexp,0.65,0.35743701550387597,0.9090391397476196,0.9916709661483765,0.09062763303518295,True,0,0.13372093023255813,0.13372093023255813,aglr_certimask_lowbit
21,go_strict,True,logsumexp,0.7,0.3074127906976744,0.9062140583992004,0.9835221171379089,0.11174461245536804,True,0,0.12132302048726468,0.12132302048726468,aglr_certimask_lowbit
22,quality_only_high_work,True,logsumexp,0.3,0.7070009689922481,0.9343019723892212,0.9923608303070068,0.08909597247838974,True,0,0.10755813953488372,0.10755813953488372,aglr_certimask_lowbit_quality_only_high_attention_work
23,conditional_relaxed,True,logsumexp,0.5,0.5038759689922481,0.857486367225647,0.9842150807380676,0.14134418964385986,True,0,0.12467123477297896,0.12467123477297896,aglr_certimask_lowbit
