layer,block_size,target_sparsity,local_blocks,aggregation,mask_type,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,output_cosine_mean,output_l2_relative_mean,kept_attention_mass_p50,kept_attention_mass_p90,output_l2_relative_p90,output_cosine_p10,token_mask_sparsity,strict_pass,practical_pass,relaxed_pass,quality_only_pass,oracle_gap_mass,oracle_gap_l2,improvement_over_mean_pooled_mass,improvement_over_mean_pooled_l2
0,8,0.3,0,none,oracle_block_mass,0.29299903100775193,0.7070009689922481,0.9713173508644104,0.9993871450424194,0.01604410819709301,0.9990447163581848,1.0,0.06613881886005402,0.9978755116462708,0.6468715667724609,False,False,False,True,0.0286826491355896,0.01604410819709301,0.9713173508644104,-0.01604410819709301
0,8,0.3,0,none,mean_pooled_score,0.30851155869324476,0.6914884413067552,0.9399592876434326,0.9883540272712708,0.03761962801218033,0.9977613687515259,1.0,0.08980356156826019,0.9961501955986023,0.6548696245465959,False,False,False,True,0.03135806322097778,0.02157551981508732,0.9399592876434326,-0.03761962801218033
0,8,0.3,0,logsumexp,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9472037553787231,0.9978681802749634,0.027787568047642708,0.9975497722625732,1.0,0.09931546449661255,0.9954133629798889,0.6470546722412109,False,False,False,True,0.024113595485687256,0.011743459850549698,0.007244467735290527,0.00983205996453762
0,8,0.3,1,logsumexp,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9467482566833496,0.997821569442749,0.028031237423419952,0.9975318312644958,1.0,0.0997341126203537,0.995347261428833,0.64715576171875,False,False,False,True,0.02456909418106079,0.011987129226326942,0.006788969039916992,0.009588390588760376
0,8,0.3,2,logsumexp,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9458609819412231,0.9975144267082214,0.02888030745089054,0.9974988102912903,1.0,0.10101515054702759,0.995186448097229,0.64715576171875,False,False,False,True,0.025456368923187256,0.012836199253797531,0.005901694297790527,0.008739320561289787
0,8,0.3,0,topk_mean,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9535223841667175,0.9983710050582886,0.023954762145876884,0.9978564977645874,1.0,0.08583594858646393,0.9965277910232544,0.6471042633056641,False,False,False,True,0.01779496669769287,0.007910653948783875,0.013563096523284912,0.013664865866303444
0,8,0.3,1,topk_mean,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9531553983688354,0.998333215713501,0.024173546582460403,0.9978564977645874,1.0,0.08610156178474426,0.9964907765388489,0.64715576171875,False,False,False,True,0.01816195249557495,0.008129438385367393,0.013196110725402832,0.013446081429719925
0,8,0.3,2,topk_mean,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9526727199554443,0.9981427192687988,0.02455126866698265,0.9978291988372803,1.0,0.08691199123859406,0.9964052438735962,0.64715576171875,False,False,False,True,0.018644630908966064,0.00850716046988964,0.012713432312011719,0.013068359345197678
0,8,0.5,0,none,oracle_block_mass,0.49612403100775193,0.5038759689922481,0.9279009103775024,0.996241569519043,0.040868520736694336,0.9947896003723145,1.0,0.15453782677650452,0.9885842800140381,0.7490482330322266,False,True,True,True,0.07209908962249756,0.040868520736694336,0.9279009103775024,-0.040868520736694336
0,8,0.5,0,none,mean_pooled_score,0.5116279069767442,0.4883720930232558,0.8786316514015198,0.9763908982276917,0.07002641260623932,0.9888440370559692,0.9999999403953552,0.1804129183292389,0.9845011830329895,0.7570838928222656,False,False,True,False,0.049269258975982666,0.029157891869544983,0.8786316514015198,-0.07002641260623932
0,8,0.5,0,logsumexp,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.8827803730964661,0.9910002946853638,0.06168759614229202,0.9836493134498596,0.9999999403953552,0.2038341462612152,0.9810266494750977,0.7492771148681641,False,False,True,False,0.04512053728103638,0.020819075405597687,0.004148721694946289,0.008338816463947296
0,8,0.5,1,logsumexp,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.8806291818618774,0.9902774691581726,0.063613161444664,0.9833522439002991,0.9999999403953552,0.20752131938934326,0.980280876159668,0.74951171875,False,False,True,False,0.047271728515625,0.022744640707969666,0.001997530460357666,0.006413251161575317
0,8,0.5,2,logsumexp,aglr_antidiagonal,0.4960029069767442,0.5039970930232558,0.8800579309463501,0.9895133972167969,0.06386790424585342,0.9839184880256653,0.9999999403953552,0.20754680037498474,0.9804067611694336,0.74945068359375,False,False,True,False,0.047842979431152344,0.022999383509159088,0.0014262795448303223,0.006158508360385895
0,8,0.5,0,topk_mean,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.8941900134086609,0.9925363063812256,0.05455486476421356,0.9886325597763062,0.9999999403953552,0.18405380845069885,0.9841381907463074,0.7493095397949219,False,False,True,False,0.03371089696884155,0.013686344027519226,0.015558362007141113,0.015471547842025757
0,8,0.5,1,topk_mean,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.8921061158180237,0.9920755624771118,0.055995356291532516,0.9883191585540771,0.9999999403953552,0.1878070831298828,0.9837079048156738,0.74951171875,False,False,True,False,0.03579479455947876,0.01512683555483818,0.013474464416503906,0.014031056314706802
0,8,0.5,2,topk_mean,aglr_antidiagonal,0.4960029069767442,0.5039970930232558,0.8914152979850769,0.9914112091064453,0.0561971515417099,0.9888800382614136,0.9999999403953552,0.18556764721870422,0.9840319752693176,0.74945068359375,False,False,True,False,0.03648561239242554,0.015328630805015564,0.012783646583557129,0.013829261064529419
0,8,0.65,0,none,oracle_block_mass,0.642562984496124,0.35743701550387597,0.8868799209594727,0.9930521845817566,0.060600124299526215,0.9870651364326477,0.9999999403953552,0.23524120450019836,0.9741115570068359,0.8225021362304688,False,False,True,False,0.11312007904052734,0.060600124299526215,0.8868799209594727,-0.060600124299526215
0,8,0.65,0,none,mean_pooled_score,0.6580668604651163,0.34193313953488375,0.820694088935852,0.9692175984382629,0.10130652040243149,0.9672304391860962,0.9999997615814209,0.27699363231658936,0.9636107683181763,0.8306369781494141,False,False,False,False,0.0661858320236206,0.04070639610290527,0.820694088935852,-0.10130652040243149
0,8,0.65,0,logsumexp,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.8308772444725037,0.985453188419342,0.08971700817346573,0.9595614075660706,0.9999998211860657,0.29068124294281006,0.961750864982605,0.8228187561035156,False,False,False,False,0.056002676486968994,0.029116883873939514,0.010183155536651611,0.01158951222896576
0,8,0.65,1,logsumexp,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.8270450830459595,0.984211802482605,0.09320096671581268,0.9581679105758667,0.9999998211860657,0.29548028111457825,0.9597740173339844,0.82330322265625,False,False,False,False,0.059834837913513184,0.03260084241628647,0.006350994110107422,0.008105553686618805
0,8,0.65,2,logsumexp,aglr_antidiagonal,0.6424418604651163,0.35755813953488375,0.8232443928718567,0.9823641777038574,0.09563625603914261,0.9577213525772095,0.9999998211860657,0.30124104022979736,0.9577795267105103,0.8232421875,False,False,False,False,0.06363552808761597,0.035036131739616394,0.0025503039360046387,0.005670264363288879
0,8,0.65,0,topk_mean,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.841792643070221,0.9872784614562988,0.080552838742733,0.9669665694236755,0.9999998807907104,0.2524092197418213,0.9708021879196167,0.8229751586914062,False,False,False,False,0.04508727788925171,0.019952714443206787,0.021098554134368896,0.020753681659698486
0,8,0.65,1,topk_mean,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.8384897708892822,0.9861466288566589,0.08366438746452332,0.9659907817840576,0.9999998211860657,0.2589613199234009,0.9689301252365112,0.82330322265625,False,False,False,False,0.04839015007019043,0.0230642631649971,0.017795681953430176,0.017642132937908173
0,8,0.65,2,topk_mean,aglr_antidiagonal,0.6424418604651163,0.35755813953488375,0.8348918557167053,0.9844578504562378,0.08644165843725204,0.9657893180847168,0.9999998807907104,0.2632949948310852,0.9679222702980042,0.8232421875,False,False,False,False,0.051988065242767334,0.02584153413772583,0.014197766780853271,0.014864861965179443
0,8,0.7,0,none,oracle_block_mass,0.6925872093023255,0.3074127906976744,0.866321325302124,0.990506649017334,0.07238443940877914,0.9819564819335938,0.9999998807907104,0.2778160572052002,0.9645445346832275,0.8475856781005859,False,False,True,False,0.13367867469787598,0.07238443940877914,0.866321325302124,-0.07238443940877914
0,8,0.7,0,none,mean_pooled_score,0.7084544573643411,0.2915455426356589,0.7897788882255554,0.9582015872001648,0.1223558634519577,0.9465968012809753,0.9999990463256836,0.32242000102996826,0.9505971074104309,0.8558864593505859,False,False,False,False,0.0765424370765686,0.04997142404317856,0.7897788882255554,-0.1223558634519577
0,8,0.7,0,logsumexp,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.8056584000587463,0.9814674258232117,0.10588940978050232,0.9451323747634888,0.9999995827674866,0.32729536294937134,0.950627326965332,0.8478832244873047,False,False,False,False,0.060662925243377686,0.033504970371723175,0.015879511833190918,0.016466453671455383
0,8,0.7,1,logsumexp,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.7995875477790833,0.9786175489425659,0.11319588124752045,0.9410774111747742,0.999999463558197,0.3482667803764343,0.9449800252914429,0.8485107421875,False,False,False,False,0.06673377752304077,0.0408114418387413,0.009808659553527832,0.009159982204437256
0,8,0.7,2,logsumexp,aglr_antidiagonal,0.6923449612403101,0.3076550387596899,0.7965012192726135,0.9773375988006592,0.11405066400766373,0.9395707845687866,0.999999463558197,0.35363835096359253,0.9431581497192383,0.848388671875,False,False,False,False,0.0698201060295105,0.04166622459888458,0.0067223310470581055,0.008305199444293976
0,8,0.7,0,topk_mean,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.8172703981399536,0.9838719367980957,0.09527680277824402,0.9525671005249023,0.9999995827674866,0.28788238763809204,0.9615709185600281,0.8481063842773438,False,False,False,False,0.04905092716217041,0.022892363369464874,0.027491509914398193,0.027079060673713684
0,8,0.7,1,topk_mean,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.8124679923057556,0.9820188283920288,0.10032352805137634,0.9504261016845703,0.9999995231628418,0.2978718876838684,0.959170401096344,0.8485107421875,False,False,False,False,0.05385333299636841,0.0279390886425972,0.022689104080200195,0.02203233540058136
0,8,0.7,2,topk_mean,aglr_antidiagonal,0.6923449612403101,0.3076550387596899,0.8083940148353577,0.9802643060684204,0.10301805287599564,0.9485219120979309,0.999999463558197,0.30575379729270935,0.9553300142288208,0.848388671875,False,False,False,False,0.05792731046676636,0.03063361346721649,0.018615126609802246,0.019337810575962067
0,8,0.75,0,none,oracle_block_mass,0.7441860465116279,0.2558139534883721,0.8417629599571228,0.9873377084732056,0.0867081955075264,0.9741724729537964,0.9999998211860657,0.3271523416042328,0.9514152407646179,0.8734703063964844,False,False,False,False,0.1582370400428772,0.0867081955075264,0.8417629599571228,-0.0867081955075264
