head_index,certificate_type,target_sparsity,valid_tiles,naive_mismatch_rate,false_drop_rate,false_keep_rate,oracle_crossing_rate,actual_refinement_rate,analytic_refinement_rate,certimask_match_rate,rho_p90,rho_max
0,actual,0.85,2080,0.023557692307692307,0.0028846153846153848,0.020673076923076922,0.010576923076923078,0.3033653846153846,0.3033653846153846,1.0,0.154257670044899,0.2894054651260376
0,analytic,0.85,2080,0.023557692307692307,0.0028846153846153848,0.020673076923076922,0.010576923076923078,0.5086538461538461,0.5086538461538461,1.0,0.08782485127449036,0.16448920965194702
1,actual,0.85,2080,0.01875,0.0038461538461538464,0.014903846153846155,0.004326923076923077,0.15576923076923077,0.15576923076923077,1.0,0.14804606139659882,0.31342679262161255
1,analytic,0.85,2080,0.01875,0.0038461538461538464,0.014903846153846155,0.004326923076923077,0.2375,0.2375,1.0,0.08424150198698044,0.17097942531108856
2,actual,0.85,2080,0.017788461538461538,0.0009615384615384616,0.016826923076923076,0.004807692307692308,0.20048076923076924,0.20048076923076924,1.0,0.14934584498405457,0.28040647506713867
2,analytic,0.85,2080,0.017788461538461538,0.0009615384615384616,0.016826923076923076,0.004807692307692308,0.3548076923076923,0.3548076923076923,1.0,0.08425848186016083,0.16320432722568512
3,actual,0.85,2080,0.01826923076923077,0.0004807692307692308,0.017788461538461538,0.0028846153846153848,0.17884615384615385,0.17884615384615385,1.0,0.16988393664360046,0.312126100063324
3,analytic,0.85,2080,0.01826923076923077,0.0004807692307692308,0.017788461538461538,0.0028846153846153848,0.30240384615384613,0.30240384615384613,1.0,0.09781864285469055,0.18774595856666565
4,actual,0.85,2080,0.01730769230769231,0.0014423076923076924,0.015865384615384615,0.002403846153846154,0.10336538461538461,0.10336538461538461,1.0,0.1498887985944748,0.3624705672264099
4,analytic,0.85,2080,0.01730769230769231,0.0014423076923076924,0.015865384615384615,0.002403846153846154,0.17163461538461539,0.17163461538461539,1.0,0.08605746924877167,0.18266147375106812
5,actual,0.85,2080,0.01826923076923077,0.0019230769230769232,0.016346153846153847,0.0038461538461538464,0.20288461538461539,0.20288461538461539,1.0,0.14982981979846954,0.31022289395332336
5,analytic,0.85,2080,0.01826923076923077,0.0019230769230769232,0.016346153846153847,0.0038461538461538464,0.3581730769230769,0.3581730769230769,1.0,0.08515962213277817,0.18820726871490479
6,actual,0.85,2080,0.02548076923076923,0.004326923076923077,0.021153846153846155,0.008653846153846154,0.2673076923076923,0.2673076923076923,1.0,0.14791423082351685,0.2961225211620331
6,analytic,0.85,2080,0.02548076923076923,0.004326923076923077,0.021153846153846155,0.008653846153846154,0.48125,0.48125,1.0,0.08389056473970413,0.17302337288856506
7,actual,0.85,2080,0.020192307692307693,0.0014423076923076924,0.01875,0.007211538461538462,0.2389423076923077,0.2389423076923077,1.0,0.16170786321163177,0.3502659797668457
7,analytic,0.85,2080,0.020192307692307693,0.0014423076923076924,0.01875,0.007211538461538462,0.43798076923076923,0.43798076923076923,1.0,0.09118468314409256,0.20906014740467072
8,actual,0.85,2080,0.021634615384615384,0.0038461538461538464,0.017788461538461538,0.00625,0.20288461538461539,0.20288461538461539,1.0,0.1516326516866684,0.2926950454711914
8,analytic,0.85,2080,0.021634615384615384,0.0038461538461538464,0.017788461538461538,0.00625,0.3264423076923077,0.3264423076923077,1.0,0.08660358190536499,0.1706327497959137
9,actual,0.85,2080,0.022596153846153846,0.0028846153846153848,0.01971153846153846,0.004326923076923077,0.20432692307692307,0.20432692307692307,1.0,0.13660402595996857,0.26706627011299133
9,analytic,0.85,2080,0.022596153846153846,0.0028846153846153848,0.01971153846153846,0.004326923076923077,0.39278846153846153,0.39278846153846153,1.0,0.07761374115943909,0.15929605066776276
10,actual,0.85,2080,0.01826923076923077,0.0019230769230769232,0.016346153846153847,0.0019230769230769232,0.12067307692307692,0.12067307692307692,1.0,0.14545825123786926,0.2688070833683014
10,analytic,0.85,2080,0.01826923076923077,0.0019230769230769232,0.016346153846153847,0.0019230769230769232,0.1889423076923077,0.1889423076923077,1.0,0.08360492438077927,0.15746229887008667
11,actual,0.85,2080,0.026442307692307692,0.0038461538461538464,0.022596153846153846,0.008653846153846154,0.17740384615384616,0.17740384615384616,1.0,0.1590120941400528,0.3073335587978363
11,analytic,0.85,2080,0.026442307692307692,0.0038461538461538464,0.022596153846153846,0.008653846153846154,0.275,0.275,1.0,0.09114494919776917,0.19166401028633118
12,actual,0.85,2080,0.02451923076923077,0.0019230769230769232,0.022596153846153846,0.007211538461538462,0.18557692307692308,0.18557692307692308,1.0,0.1535409539937973,0.31534263491630554
12,analytic,0.85,2080,0.02451923076923077,0.0019230769230769232,0.022596153846153846,0.007211538461538462,0.30673076923076925,0.30673076923076925,1.0,0.08620049804449081,0.17754672467708588
13,actual,0.85,2080,0.01971153846153846,0.0014423076923076924,0.01826923076923077,0.005288461538461539,0.1889423076923077,0.1889423076923077,1.0,0.1508665531873703,0.2693508267402649
13,analytic,0.85,2080,0.01971153846153846,0.0014423076923076924,0.01826923076923077,0.005288461538461539,0.3278846153846154,0.3278846153846154,1.0,0.08529136329889297,0.16189812123775482
