metric,value
score_std,2.7513840198516846
score_mean,-3.7211225032806396
score_p01,-10.270987510681152
score_p10,-7.267925262451172
score_p50,-3.716346263885498
score_p90,-0.24333606660366058
score_p99,2.7479593753814697
abs_score_p50,3.735743284225464
abs_score_p90,7.268184185028076
abs_score_p99,10.270987510681152
threshold_mean,-1.3640177249908447
threshold_std,1.4578105211257935
threshold_p10,-3.218294143676758
threshold_p50,-1.4243173599243164
threshold_p90,0.4026152491569519
abs_error_p50,0.053820013999938965
abs_error_p90,0.1354580819606781
abs_error_p99,0.21688316762447357
actual_bound_p50,0.8650106191635132
actual_bound_p90,1.0846850872039795
actual_bound_p99,1.2356243133544922
analytic_bound_p50,1.5205172300338745
analytic_bound_p90,1.9158318042755127
analytic_bound_p99,2.1580169200897217
margin_p10,0.39154767990112305
margin_p50,2.427175283432007
margin_p90,5.487228870391846
ratio_error_to_margin_p50,0.023260250687599182
ratio_error_to_margin_p90,0.16747865080833435
ratio_error_to_margin_p99,633495.1875
ratio_actual_inflation_p50,15.90652084350586
ratio_actual_inflation_p90,84.64957427978516
ratio_actual_inflation_p99,845.1494750976562
ratio_analytic_inflation_p50,28.05630111694336
ratio_analytic_inflation_p90,149.53958129882812
ratio_analytic_inflation_p99,1477.697265625
ratio_margin_to_actual_p50,2.7667853832244873
ratio_margin_to_actual_p90,6.498634338378906
ratio_margin_to_actual_p99,10.053899765014648
ratio_margin_to_analytic_p50,1.5705087184906006
ratio_margin_to_analytic_p90,3.6968367099761963
ratio_margin_to_analytic_p99,5.721105098724365
